PDS,VN,ID,YR,MN,PROV,DIST_N,DIST_C,PTY_N,PTY_C,CAN_N,CAN_G,RV,VV,IVV,CV,TPV,SEATS
1,1,DPR,2024,February,ACEH ,ACEH I,1,Buruh,1,Habibi Inseun,Male,1964576,1649009,113950,NA,6730,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Buruh,1,Hariyanto Latuheru,Male,1964576,1649009,113950,NA,6730,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Buruh,1,"Mahadi Manik, S.Si., M.Si.",Male,1964576,1649009,113950,NA,6730,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Buruh,1,Rosmana Dewi,Female,1964576,1649009,113950,NA,6730,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Buruh,1,"Sayed Masykur, S.T.",Male,1964576,1649009,113950,NA,6730,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Buruh,1,Siti Sundari,Female,1964576,1649009,113950,NA,6730,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Buruh,1,Zarlina,Female,1964576,1649009,113950,NA,6730,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Demokrat,2,"H. T. IBRAHIM, S.T., M.M.",Male,1964576,1649009,113950,NA,130913,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Demokrat,2,H. TEUKU RIEFKY HARSYA,Male,1964576,1649009,113950,NA,130913,1
1,1,DPR,2024,February,ACEH ,ACEH I,1,Demokrat,2,KHAIRULLAH,Male,1964576,1649009,113950,NA,130913,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Demokrat,2,NURHAYATI,Female,1964576,1649009,113950,NA,130913,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Demokrat,2,RIZQA ZANIA,Female,1964576,1649009,113950,NA,130913,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Demokrat,2,TEUKU RASSYA I. PASYA,Male,1964576,1649009,113950,NA,130913,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Demokrat,2,"Tgk. HARMEN NURIQMAR, S.S.",Male,1964576,1649009,113950,NA,130913,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Garuda,3,BENING LARASATI,Female,1964576,1649009,113950,NA,2711,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Garuda,3,CHAIDIR FURRAZI NUR,Male,1964576,1649009,113950,NA,2711,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Garuda,3,EGI KURNIA PUTRA,Male,1964576,1649009,113950,NA,2711,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Garuda,3,PUTRI CHOIRUN NISYA,Female,1964576,1649009,113950,NA,2711,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Garuda,3,SETYANI LARASATI,Female,1964576,1649009,113950,NA,2711,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Garuda,3,"T. ISKANDAR, S.T.",Male,1964576,1649009,113950,NA,2711,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gelora,4,AZMI FAJRI USMAN,Male,1964576,1649009,113950,NA,11359,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gelora,4,EDY SUPENO,Male,1964576,1649009,113950,NA,11359,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gelora,4,"FANIA VIVI HIKMAWATI, S.E.",Female,1964576,1649009,113950,NA,11359,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gelora,4,KASUMIYATI,Female,1964576,1649009,113950,NA,11359,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gelora,4,MOHARRIADI,Male,1964576,1649009,113950,NA,11359,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gelora,4,NASRUDDIN AWL,Male,1964576,1649009,113950,NA,11359,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gelora,4,TGK KHALIDI AL-DJADAMI,Male,1964576,1649009,113950,NA,11359,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gerindra,5,Dra. Hj. ZULHAFAH,Female,1964576,1649009,113950,NA,104005,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gerindra,5,"Drs. HASANUDDIN DARJO, M.M.",Male,1964576,1649009,113950,NA,104005,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gerindra,5,"ERLIN, S.E.",Female,1964576,1649009,113950,NA,104005,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gerindra,5,"FADHLULLAH, S.E.",Male,1964576,1649009,113950,NA,104005,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gerindra,5,Ir. H. MAULISMAN HANAFIAH,Male,1964576,1649009,113950,NA,104005,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gerindra,5,Ir. MUDDATSTSIR KAMIL,Male,1964576,1649009,113950,NA,104005,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Gerindra,5,ZAITUN MHD,Male,1964576,1649009,113950,NA,104005,0
1,1,DPR,2024,February,ACEH ,ACEH I,1,Golkar,6,"Dr. H. M. SALEH.P, S.Pd.I., M.Si.",Male,1964576,1649009,113950,NA,258043,0
