Year,Election ,Province name,Candidate name
2014,DPD,Aceh ,Adnan N.S. 
2014,DPD,Aceh ,Anwar
2014,DPD,Aceh ,Dasleliaty
2014,DPD,Aceh ,"Dr. Ahmad Farhan Hamid, M.S."
2014,DPD,Aceh ,"Dra. Hj. Mediati Hafni Hanum, SH., M,Kn."
2014,DPD,Aceh ,"Drs. Azhari Usman, M.SI."
2014,DPD,Aceh ,"Drs. H. Anharuddin, S.E., M.M."
2014,DPD,Aceh ,Drs. H. Ghazali Abbas Adan
2014,DPD,Aceh ,Drs. H. M. Yusuf Ishaq
2014,DPD,Aceh ,Drs. Ibrahim Saleh 
2014,DPD,Aceh ,"Erdarina, S.P. "
2014,DPD,Aceh ,"Fachrul Razi, M.I.P. "
2014,DPD,Aceh ,Fauzan Azima S
2014,DPD,Aceh ,Fazlun Hasan 
2014,DPD,Aceh ,"H. Asy’ari, S.Pd.I."
2014,DPD,Aceh ,"H. Fachrurrazi, S.E. "
2014,DPD,Aceh ,H. Teuku Mukhtar Anshari Z.A 
2014,DPD,Aceh ,H. Waisul Qarany Aly 
2014,DPD,Aceh ,H.T. Bachrum Manyak 
2014,DPD,Aceh ,Herianto 
2014,DPD,Aceh ,"Idham, S.P. "
2014,DPD,Aceh ,"Ir. H.T. Suriansyah, M.Si."
2014,DPD,Aceh ,"Ir. TGK. H. Subki El Madny, M.T. "
2014,DPD,Aceh ,"Irsalina Huzna Azwir, S.Ked"
2014,DPD,Aceh ,"Muhammad Yusuf, S.E. "
2014,DPD,Aceh ,"Mukhtar, S.E. "
2014,DPD,Aceh ,Mursyid
2014,DPD,Aceh ,"Muslim, S.E. "
2014,DPD,Aceh ,"Nazir Adam, S.E., M.M. "
2014,DPD,Aceh ,Rafli 
2014,DPD,Aceh ,"Saifuddin Gani, S.H. "
2014,DPD,Aceh ,Sudirman
2014,DPD,Aceh ,"Suparno, S.T.P. "
2014,DPD,Aceh ,"Syamsuddin A Jalil, S.H. "
2014,DPD,Aceh ,"Tarmilin Usman, SE, M.Si. "
2014,DPD,Aceh ,"Teuku Eddy Faisal Rusydi, S.H.I., M.Sc. "
2014,DPD,Aceh ,"Teuku Kamaruzzman, S.H. "
2014,DPD,Aceh ,TGK. H. Abdurrahman B.T.M 
2014,DPD,Aceh ,TGK. H. Rasyidin Abdullah 
2014,DPD,Aceh ,TGK. T. Abdul Muthalib
