Year,Election,Province name,Candidate Name ,,,,,,,,,,,,,
2019,DPD,Aceh,"ANDRI LISKA, S.I.Kom.",,,,,,,,,,,,,
2019,DPD,Aceh,"BUKHARI MY, S.Sos.",,,,,,,,,,,,,
2019,DPD,Aceh,BURHANUDDIN DAUD,,,,,,,,,,,,,
2019,DPD,Aceh,"Dr. Ir. H ABDULLAH PUTEH, M.Si.",,,,,,,,,,,,,
2019,DPD,Aceh,"dr. IRSALINA HUSNA AZWIR, S.H.",,,,,,,,,,,,,
2019,DPD,Aceh,Drs. H. GHAZALI ABBAS ADAN,,,,,,,,,,,,,
2019,DPD,Aceh,"Drs. HASANUDDIN DARJO, M.M.",,,,,,,,,,,,,
2019,DPD,Aceh,FADHLI ABDULLAH ADAM,,,,,,,,,,,,,
2019,DPD,Aceh,FAJRAN ZAIN,,,,,,,,,,,,,
2019,DPD,Aceh,"H. ANWAR AHMAD, S.E., Ak.",,,,,,,,,,,,,
2019,DPD,Aceh,"H. FACHRUL RAZI, M.I.P.",,,,,,,,,,,,,
2019,DPD,Aceh,"H. M. FADHIL RAHMI, Lc.",,,,,,,,,,,,,
2019,DPD,Aceh,"H. MUKHLIS MUKHTAR, S.H.",,,,,,,,,,,,,
2019,DPD,Aceh,"H. MUNTASIR HAMID, S.H., M.H",,,,,,,,,,,,,
2019,DPD,Aceh,H. T. BACHRUM MANYAK,,,,,,,,,,,,,
2019,DPD,Aceh,"ISKANDAR, S.E.I",,,,,,,,,,,,,
2019,DPD,Aceh,M. FAKHRUDDIN,,,,,,,,,,,,,
2019,DPD,Aceh,"MASRI GANDARA MARZUKI, S.H.",,,,,,,,,,,,,
2019,DPD,Aceh,MUHAMMAD ALI KUBA ,,,,,,,,,,,,,
2019,DPD,Aceh,MURDANI,,,,,,,,,,,,,
2019,DPD,Aceh,"MURSALIN, S.H.I",,,,,,,,,,,,,
2019,DPD,Aceh,SUDIRMAN,,,,,,,,,,,,,
2019,DPD,Aceh,T. SAIFULLAH,,,,,,,,,,,,,
2019,DPD,Aceh,"TARMILIN USMAN, S.E., M.Si",,,,,,,,,,,,,
2019,DPD,Aceh,"TGK. FACHRURRAZI HAMZAH, S.Pd.",,,,,,,,,,,,,
2019,DPD,Aceh,TGK. T. ABDUL MUTHALIB,,,,,,,,,,,,,
2019,DPD,Bali,"A.A NGR. OKA RATMADI,S.H., M.Si.",,,,,,,,,,,,,
2019,DPD,Bali,"ANAK AGUNG GDE AGUNG, S.H.",,,,,,,,,,,,,
2019,DPD,Bali,"BAGUS MADE WIRAJAYA, S.H.",,,,,,,,,,,,,
2019,DPD,Bali,"DEWA AYU PUTU SRI WIGUNAWATI, S.Sos., S.H., M",,,,,,,,,,,,,
2019,DPD,Bali,"Dr. SHRI I.G.N ARYA WEDAKARNA MWS, S.E (M.TRU)., M.Si.",,,,,,,,,,,,,
2019,DPD,Bali,"Dr.Drs . I GUSTI MADE NGURAH,. M.Si.",,,,,,,,,,,,,
2019,DPD,Bali,Drs I GUSTI NGURAH HARTA,,,,,,,,,,,,,
2019,DPD,Bali,"Drs. DEWA MADE SUAMBA NEGARA, M.Si.",,,,,,,,,,,,,
2019,DPD,Bali,Drs. I KETUT SUWARDANIA,,,,,,,,,,,,,
2019,DPD,Bali,"Drs. MADE MANGKU PASTIKA, M.M.",,,,,,,,,,,,,
2019,DPD,Bali,GEDE LANANG DARMA WIWEKA,,,,,,,,,,,,,
2019,DPD,Bali,"GEDE NGURAH AMBARA PUTRA, S.H.",,,,,,,,,,,,,
2019,DPD,Bali,H. BAMBANG SANTOSO,,,,,,,,,,,,,
