Year,Election ,Province name,Candidate name,,,,,,,,,
2024,DPD,Aceh,ABDUL HADI BANG JONI,,,,,,,,,
2024,DPD,Aceh,"AZHARI CAGE, S.IP",,,,,,,,,
2024,DPD,Aceh,DARVATI A. GANI,,,,,,,,,
2024,DPD,Aceh,"DEDI SUMARDI NURDIN, A.Md.Kep., S.K.M., M.M.",,,,,,,,,
2024,DPD,Aceh,"DEDY MULYADI SELIAN, S.T.",,,,,,,,,
2024,DPD,Aceh,"Dr. H. A. MUFAKHIR MUHAMMAD, M.A.",,,,,,,,,
2024,DPD,Aceh,"Dr. H. MOHD. ILYAS, S.E.. M.M",,,,,,,,,
2024,DPD,Aceh,"dr. IRSALINA HUSNA AZWIR, S.H., Sp.DV., CPM",,,,,,,,,
2024,DPD,Aceh,"Dr. MULIA RAHMAN, S.Pd.I., M.A.",,,,,,,,,
2024,DPD,Aceh,"Dr. RAIHANAH, M.Si.",,,,,,,,,
2024,DPD,Aceh,"Drs. SAHIDAL KASTRI, M.Pd",,,,,,,,,
2024,DPD,Aceh,"H. AKHYAR KAMIL, S.H.",,,,,,,,,
2024,DPD,Aceh,H. FIRMANDEZ,,,,,,,,,
2024,DPD,Aceh,"H. M. RADHIL RAHMI, LC., M.Ag.",,,,,,,,,
2024,DPD,Aceh,"H. SAYED MUHAMMAD MULIADY, S.H.",,,,,,,,,
2024,DPD,Aceh,"H. SUDIRMAN HAJI UMA, S. SoS.",,,,,,,,,
2024,DPD,Aceh,"Ir. RAZALI AR, M.SI.",,,,,,,,,
2024,DPD,Aceh,"M. ADAM, S.Pd.SD.",,,,,,,,,
2024,DPD,Aceh,"M. AMIN SAID. S.H., M.Hum.",,,,,,,,,
2024,DPD,Aceh,"M. FAKHRUDDIN, S.T.",,,,,,,,,
2024,DPD,Aceh,M. ZULMI. S.E.,,,,,,,,,
2024,DPD,Aceh,"MIZAR LIYANDA, S.TP.. M.P.",,,,,,,,,
2024,DPD,Aceh,NAZAR APACHE,,,,,,,,,
2024,DPD,Aceh,NAZIR ADAM. S.E.. M.M.,,,,,,,,,
2024,DPD,Aceh,"RAHMAD MAULIZAR, S.AN",,,,,,,,,
2024,DPD,Aceh,RAHMAT RAZI AULIA (MC RAZI),,,,,,,,,
2024,DPD,Aceh,"SAFIR (FIRSA AGAMI, S.H",,,,,,,,,
2024,DPD,Aceh,SOFYAN ARDI,,,,,,,,,
2024,DPD,Aceh,Tgk. AHMADA,,,,,,,,,
2024,DPD,Aceh,"ZULFIKAR, S.E",,,,,,,,,
2024,DPD,Bali,AGUNG BAGUS ARSADHANA LINGGIH,,,,,,,,,
2024,DPD,Bali,AINUN NI'AM,,,,,,,,,
2024,DPD,Bali,Dr. GEDE SUARDANA,,,,,,,,,
2024,DPD,Bali,"Dr. IDA BAGUS RAI DHARMAWIJAYA MANTRA, S.E., M.Si.",,,,,,,,,
2024,DPD,Bali,"H. BAMBANG SANTOSO, M.A.",,,,,,,,,
2024,DPD,Bali,"I GUSTI AGUNG NGURAH SUDARSANA, S.H., M.H.",,,,,,,,,
2024,DPD,Bali,"I KETUT HARI SUYASA, S.E.",,,,,,,,,
2024,DPD,Bali,I KOMANG MERTA JIWA,,,,,,,,,
2024,DPD,Bali,I MADE KERTA SUWIRYA,,,,,,,,,
2024,DPD,Bali,"I WAYAN GEREDEG, S.H.",,,,,,,,,
2024,DPD,Bali,"I WAYAN SUKAYASA, S.H., M.I. Kom.",,,,,,,,,
2024,DPD,Bali,Ir. I WAYAN SEDANG,,,,,,,,,
2024,DPD,Bali,"L KET UT WISNA, S.T., M.M.",,,,,,,,,
2024,DPD,Bali,"MADE WIDHI DHARMA, S.E., Ak., M.Sí.",,,,,,,,,
2024,DPD,Bali,NI LUH PUTU ARY PERTAMI DJELANTIK,,,,,,,,,
2024,DPD,Bali,"PUTU WAHYU WIDIARTANA, S.H., M.H.",,,,,,,,,
2024,DPD,Bali,SHRI I GUSTI NGURAH ARYA WEDAKARNA MAHENDRADATTA WEDASTERAPUTRA SUYASA,,,,,,,,,
2024,DPD,Banten,"ADE FALI, S.E.. M.M.",,,,,,,,,
2024,DPD,Banten,ANANTA WAHANA,,,,,,,,,
2024,DPD,Banten,ANDIARA APRILIA HIKMAT. S.I.Kom.,,,,,,,,,
2024,DPD,Banten,DEDEN ZAENUL FARHAN,,,,,,,,,
2024,DPD,Banten,"Des. H. IDRIS JAMRONL, M.SI.",,,,,,,,,
2024,DPD,Banten,"Dr. H. TB. M. ALL RIDHO AZHARI, S.H. M.H., M.I. Kom",,,,,,,,,
2024,DPD,Banten,"Dra. H. CEPI SAFRUL ALAM, M.SI.",,,,,,,,,
2024,DPD,Banten,GUNAWAN S,,,,,,,,,
2024,DPD,Banten,H. ABDI SUMAITHI,,,,,,,,,
2024,DPD,Banten,H. AHMAD SUBADRI,,,,,,,,,
2024,DPD,Banten,"H. DANI SAMIUN, S.H.",,,,,,,,,
2024,DPD,Banten,H. ICHSAN HS,,,,,,,,,
2024,DPD,Banten,"H. MIPTAHUDDIN, S.T.. M.T.",,,,,,,,,
2024,DPD,Banten,"H. PUJIYANTO, S.E., M.M",,,,,,,,,
2024,DPD,Banten,"H. SURTAWLIAYA, S.Pd., M.Si.",,,,,,,,,
2024,DPD,Banten,HABIB ALI ALWI,,,,,,,,,
2024,DPD,Banten,"HI ADE YULIASIH, S.H., M.Kn.",,,,,,,,,
2024,DPD,Banten,JULIANTO S.H.. M.H.,,,,,,,,,
2024,DPD,Banten,"K.H. MUNAWIR, S.H, M.Pd.",,,,,,,,,
2024,DPD,Banten,KHOERUN HUDA,,,,,,,,,
2024,DPD,Banten,LINDUNG GURNING,,,,,,,,,
2024,DPD,Banten,"MARITON SIMANJUNTAR, S.E., S.H.",,,,,,,,,
2024,DPD,Banten,MOCHAMMAD FARID DERMAWAN,,,,,,,,,
2024,DPD,Banten,TB. BASUNI,,,,,,,,,
2024,DPD,Bengkulu,ANDRIAN WAHYUDI,,,,,,,,,
2024,DPD,Bengkulu,"apt. DESTITA KHAIRILISANI, S.Farm., M.S.M.",,,,,,,,,
2024,DPD,Bengkulu,"DEF TRI HARDIANTO, S.I.P.",,,,,,,,,
2024,DPD,Bengkulu,"Dr. H. RAHIMAN DANI, M.A.",,,,,,,,,
2024,DPD,Bengkulu,"Dr. Ir. H. IMRON ROSYADI, M.M., M.Si.",,,,,,,,,
2024,DPD,Bengkulu,EDI AGUSDIN,,,,,,,,,
2024,DPD,Bengkulu,"ELISA ERMASARI, S.Mn.",,,,,,,,,
2024,DPD,Bengkulu,"H. ABDUL KHARIS MA'MUN, S.H.",,,,,,,,,
