Year,Election,Province,District Name,Part Number,Party Name,Candidate Name,"Candidate Gender L=Male, P=Female",Candidate List Number
2014,DPR,ACEH,ACEH I,1,PARTAI NasDem,"PROF. DR. BACHTIAR ALY, MA",L,1
2014,DPR,ACEH,ACEH I,1,PARTAI NasDem,Drs. H. T. PRIBADI,L,2
2014,DPR,ACEH,ACEH I,1,PARTAI NasDem,"DESI FITRIANI, S.Sos.",P,3
2014,DPR,ACEH,ACEH I,1,PARTAI NasDem,TAF HAIKAL,L,4
2014,DPR,ACEH,ACEH I,1,PARTAI NasDem,IR. H. FAISAL RY,L,5
2014,DPR,ACEH,ACEH I,1,PARTAI NasDem,"Hj. FAHMIWATI, SE., M.Si",P,6
2014,DPR,ACEH,ACEH I,1,PARTAI NasDem,NURHAYATI,P,7
2014,DPR,ACEH,ACEH I,2,PARTAI KEBANGKITAN BANGSA,IRMAWAN,L,1
2014,DPR,ACEH,ACEH I,2,PARTAI KEBANGKITAN BANGSA,Drs. H. RUSLI MUHAMMAD,L,2
2014,DPR,ACEH,ACEH I,2,PARTAI KEBANGKITAN BANGSA,"MAHDALENA, S.Hut",P,3
2014,DPR,ACEH,ACEH I,2,PARTAI KEBANGKITAN BANGSA,"TGK HUSIN YUSUF, S.Pd.I",L,4
2014,DPR,ACEH,ACEH I,2,PARTAI KEBANGKITAN BANGSA,MUNAWAR,L,5
2014,DPR,ACEH,ACEH I,2,PARTAI KEBANGKITAN BANGSA,"SITI NURAINI, S.Pd",P,6
2014,DPR,ACEH,ACEH I,2,PARTAI KEBANGKITAN BANGSA,Dra. ANDYANA,P,7
2014,DPR,ACEH,ACEH I,3,PARTAI KEADILAN SEJAHTERA,"M. NASIR DJAMIL, S.Ag",L,1
2014,DPR,ACEH,ACEH I,3,PARTAI KEADILAN SEJAHTERA,"H. MOHAMMAD IHSAN, BA",L,2
2014,DPR,ACEH,ACEH I,3,PARTAI KEADILAN SEJAHTERA,"KURNIA RAHMAYANTI, S.Psi",P,3
2014,DPR,ACEH,ACEH I,3,PARTAI KEADILAN SEJAHTERA,ZAMZAMI A. RANI,L,4
2014,DPR,ACEH,ACEH I,3,PARTAI KEADILAN SEJAHTERA,ZULKARNAIN,L,5
2014,DPR,ACEH,ACEH I,3,PARTAI KEADILAN SEJAHTERA,DIAN HURIANA,P,6
2014,DPR,ACEH,ACEH I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Ir. MOCH NASIR,L,1
2014,DPR,ACEH,ACEH I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"AZFILLI ISHAK, SH",L,2
2014,DPR,ACEH,ACEH I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"CUT RIDHA SARTIKA, SE",P,3
2014,DPR,ACEH,ACEH I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"H. HUSAINI SETIAWAN AG, SE, MBA",L,4
2014,DPR,ACEH,ACEH I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Ir. T FUADI,L,5
2014,DPR,ACEH,ACEH I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"Hj. NURMALASARI, S.Pd",P,6
2014,DPR,ACEH,ACEH I,4,PARTAI DEMOKRASI INDONESIA PERJUANGAN,"ANDRIYANI, SH.",P,7
2014,DPR,ACEH,ACEH I,5,PARTAI GOLONGAN KARYA,"H. SAYED FUAD ZAKARIA, SE",L,1
2014,DPR,ACEH,ACEH I,5,PARTAI GOLONGAN KARYA,ANDI HS,L,2
2014,DPR,ACEH,ACEH I,5,PARTAI GOLONGAN KARYA,ASRIDA,P,3
2014,DPR,ACEH,ACEH I,5,PARTAI GOLONGAN KARYA,"H.M. SALIM FAKHRY,SE, MM",L,4
