Year,Election,Province,District Number,Party,Candidate name,"Candidate Gender L=Male, P=Female",Candidate list position
2024,DPR,ACEH ,ACEH I,Hanura,"ADNAN YACOB, S.E.",LAKI - LAKI,7
2024,DPR,ACEH ,ACEH I,Hanura,"AL AMIN, S.H.",LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,PSI,"AL-QUDRI, S.T.P.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,PPP,AMRI M. ALI,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,PKN,AMRINUR OKTAJAYA,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,PSI,ARIEF MARTHA RAHADYAN,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,Gelora,AZMI FAJRI USMAN,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,Perindo,AZWAR RAMLI,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,Garuda,BENING LARASATI,PEREMPUAN,4
2024,DPR,ACEH ,ACEH I,PKS,BUHARI SELIAN,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,Garuda,CHAIDIR FURRAZI NUR,LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,Ummat,CUT EVITA,PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,PPP,CUT RATNAWATI,PEREMPUAN,7
2024,DPR,ACEH ,ACEH I,Nasdem,CUT SRI MAINITA,PEREMPUAN,6
2024,DPR,ACEH ,ACEH I,Perindo,DENY ZULFIKAR,LAKI - LAKI,4
2024,DPR,ACEH ,ACEH I,PAN,DEWI MARLINA,PEREMPUAN,4
2024,DPR,ACEH ,ACEH I,Hanura,"Dr. H. ASFIFUDDIN, S.H., M.H.",LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,Golkar,"Dr. H. M. SALEH.P, S.Pd.I., M.Si.",LAKI - LAKI,5
2024,DPR,ACEH ,ACEH I,Nasdem,"Dr. TEUKU TAUFIQULHADI, M.Si.",LAKI - LAKI,1
2024,DPR,ACEH ,ACEH I,PBB,Dr. TGK. H. MUHAMMAD YUS,LAKI - LAKI,2
2024,DPR,ACEH ,ACEH I,Nasdem,"Dra. Hj. MEDIATI HAFNI HANUM, S.H., M.Kn., CPM.",PEREMPUAN,3
2024,DPR,ACEH ,ACEH I,Gerindra,Dra. Hj. ZULHAFAH,PEREMPUAN,2
