PDS,VN,ID,YR,MN,PROV,CAN,CAN_G,RV,VV,IVV,CV,SEATS
1,1,DPD,2019,February,ACEH,"Dr. Ir. H ABDULLAH PUTEH, M.Si.",Male,2634041,2495832,389304,133367,1
1,1,DPD,2019,February,ACEH,"ANDRI LISKA, S.I.Kom.",Male,2634041,2495832,389304,55904,0
1,1,DPD,2019,February,ACEH,"H. ANWAR AHMAD, S.E., Ak.",Male,2634041,2495832,389304,78749,0
1,1,DPD,2019,February,ACEH,"BUKHARI MY, S.Sos.",Male,2634041,2495832,389304,42265,0
1,1,DPD,2019,February,ACEH,BURHANUDDIN DAUD,Male,2634041,2495832,389304,47697,0
1,1,DPD,2019,February,ACEH,"H. FACHRUL RAZI, M.I.P.",Male,2634041,2495832,389304,157317,1
1,1,DPD,2019,February,ACEH,"TGK. FACHRURRAZI HAMZAH, S.Pd.",Male,2634041,2495832,389304,61232,0
1,1,DPD,2019,February,ACEH,FADHLI ABDULLAH ADAM,Male,2634041,2495832,389304,14449,0
1,1,DPD,2019,February,ACEH,FAJRAN ZAIN,Male,2634041,2495832,389304,58097,0
1,1,DPD,2019,February,ACEH,Drs. H. GHAZALI ABBAS ADAN,Male,2634041,2495832,389304,7482,0
1,1,DPD,2019,February,ACEH,"Drs. HASANUDDIN DARJO, M.M.",Male,2634041,2495832,389304,12346,0
1,1,DPD,2019,February,ACEH,"dr. IRSALINA HUSNA AZWIR, S.H.",Female,2634041,2495832,389304,109019,0
1,1,DPD,2019,February,ACEH,"ISKANDAR, S.E.I",Male,2634041,2495832,389304,49258,0
1,1,DPD,2019,February,ACEH,"MASRI GANDARA MARZUKI, S.H.",Male,2634041,2495832,389304,37041,0
1,1,DPD,2019,February,ACEH,"H. M. FADHIL RAHMI, Lc.",Male,2634041,2495832,389304,227624,1
1,1,DPD,2019,February,ACEH,M. FAKHRUDDIN,Male,2634041,2495832,389304,47524,0
1,1,DPD,2019,February,ACEH,MUHAMMAD ALI KUBA ,Male,2634041,2495832,389304,10222,0
1,1,DPD,2019,February,ACEH,"H. MUKHLIS MUKHTAR, S.H.",Male,2634041,2495832,389304,21251,0
1,1,DPD,2019,February,ACEH,"H. MUNTASIR HAMID, S.H., M.H",Male,2634041,2495832,389304,21617,0
1,1,DPD,2019,February,ACEH,MURDANI,Male,2634041,2495832,389304,13833,0
1,1,DPD,2019,February,ACEH,"MURSALIN, S.H.I",Male,2634041,2495832,389304,19402,0
1,1,DPD,2019,February,ACEH,SUDIRMAN,Male,2634041,2495832,389304,960033,1
1,1,DPD,2019,February,ACEH,TGK. T. ABDUL MUTHALIB,Male,2634041,2495832,389304,49034,0
1,1,DPD,2019,February,ACEH,"TARMILIN USMAN, S.E., M.Si",Male,2634041,2495832,389304,34951,0
1,1,DPD,2019,February,ACEH,H. T. BACHRUM MANYAK,Male,2634041,2495832,389304,28967,0
1,1,DPD,2019,February,ACEH,T. SAIFULLAH,Male,2634041,2495832,389304,18699,0
1,1,DPD,2014,April,ACEH,Adnan N.S. ,Male,2615264,2240124,220115,75821,0
1,1,DPD,2014,April,ACEH,"Dr. Ahmad Farhan Hamid, M.S.",Male,2615264,2240124,220115,11401,0
1,1,DPD,2014,April,ACEH,"Drs. H. Anharuddin, S.E., M.M.",Male,2615264,2240124,220115,45415,0
1,1,DPD,2014,April,ACEH,Anwar,Male,2615264,2240124,220115,27525,0
1,1,DPD,2014,April,ACEH,"H. Asy’ari, S.Pd.I.",Male,2615264,2240124,220115,8775,0
1,1,DPD,2014,April,ACEH,"Drs. Azhari Usman, M.SI.",Male,2615264,2240124,220115,8936,0
1,1,DPD,2014,April,ACEH,Dasleliaty,Female,2615264,2240124,220115,30631,0
1,1,DPD,2014,April,ACEH,"Erdarina, S.P. ",Female,2615264,2240124,220115,52946,0
1,1,DPD,2014,April,ACEH,"Fachrul Razi, M.I.P. ",Male,2615264,2240124,220115,345915,1
1,1,DPD,2014,April,ACEH,"H. Fachrurrazi, S.E. ",Male,2615264,2240124,220115,42841,0
1,1,DPD,2014,April,ACEH,Fauzan Azima S,Male,2615264,2240124,220115,38502,0
1,1,DPD,2014,April,ACEH,Fazlun Hasan ,Male,2615264,2240124,220115,79916,0
1,1,DPD,2014,April,ACEH,Drs. H. Ghazali Abbas Adan,Male,2615264,2240124,220115,144505,1
1,1,DPD,2014,April,ACEH,Herianto ,Male,2615264,2240124,220115,40952,0
1,1,DPD,2014,April,ACEH,Drs. Ibrahim Saleh ,Male,2615264,2240124,220115,24242,0
1,1,DPD,2014,April,ACEH,"Idham, S.P. ",Male,2615264,2240124,220115,29361,0
1,1,DPD,2014,April,ACEH,"Irsalina Huzna Azwir, S.Ked",Female,2615264,2240124,220115,41598,0
1,1,DPD,2014,April,ACEH,Drs. H. M. Yusuf Ishaq,Male,2615264,2240124,220115,38688,0
1,1,DPD,2014,April,ACEH,"Dra. Hj. Mediati Hafni Hanum, SH., M,Kn.",Female,2615264,2240124,220115,42628,0
1,1,DPD,2014,April,ACEH,"Muhammad Yusuf, S.E. ",Male,2615264,2240124,220115,25442,0
1,1,DPD,2014,April,ACEH,"Mukhtar, S.E. ",Male,2615264,2240124,220115,8154,0
1,1,DPD,2014,April,ACEH,Mursyid,Male,2615264,2240124,220115,83857,0
1,1,DPD,2014,April,ACEH,"Muslim, S.E. ",Male,2615264,2240124,220115,13998,0
1,1,DPD,2014,April,ACEH,"Nazir Adam, S.E., M.M. ",Male,2615264,2240124,220115,103928,0
1,1,DPD,2014,April,ACEH,Rafli ,Male,2615264,2240124,220115,134509,1
1,1,DPD,2014,April,ACEH,"Saifuddin Gani, S.H. ",Male,2615264,2240124,220115,1132,0
1,1,DPD,2014,April,ACEH,Sudirman,Male,2615264,2240124,220115,136964,1
1,1,DPD,2014,April,ACEH,"Suparno, S.T.P. ",Male,2615264,2240124,220115,3103,0
1,1,DPD,2014,April,ACEH,"Syamsuddin A Jalil, S.H. ",Male,2615264,2240124,220115,21433,0
1,1,DPD,2014,April,ACEH,H.T. Bachrum Manyak ,Male,2615264,2240124,220115,43539,0
1,1,DPD,2014,April,ACEH,"Ir. H.T. Suriansyah, M.Si.",Male,2615264,2240124,220115,13813,0
1,1,DPD,2014,April,ACEH,"Tarmilin Usman, SE, M.Si. ",Male,2615264,2240124,220115,18281,0
1,1,DPD,2014,April,ACEH,"Teuku Eddy Faisal Rusydi, S.H.I., M.Sc. ",Male,2615264,2240124,220115,1819,0
1,1,DPD,2014,April,ACEH,"Teuku Kamaruzzman, S.H. ",Male,2615264,2240124,220115,44283,0
1,1,DPD,2014,April,ACEH,H. Teuku Mukhtar Anshari Z.A ,Male,2615264,2240124,220115,19161,0
1,1,DPD,2014,April,ACEH,TGK. T. Abdul Muthalib,Male,2615264,2240124,220115,29354,0
1,1,DPD,2014,April,ACEH,TGK. H. Abdurrahman B.T.M ,Male,2615264,2240124,220115,30091,0
1,1,DPD,2014,April,ACEH,TGK. H. Rasyidin Abdullah ,Male,2615264,2240124,220115,28443,0
1,1,DPD,2014,April,ACEH,"Ir. TGK. H. Subki El Madny, M.T. ",Male,2615264,2240124,220115,12918,0
1,1,DPD,2014,April,ACEH,H. Waisul Qarany Aly ,Male,2615264,2240124,220115,1881,0
1,1,DPD,2019,February,BALI,"A.A NGR. OKA RATMADI,S.H., M.Si.",Male,3130288,2320137,286064,7189,0
1,1,DPD,2019,February,BALI,"ANAK AGUNG GDE AGUNG, S.H.",Male,3130288,2320137,286064,229675,1
1,1,DPD,2019,February,BALI,"BAGUS MADE WIRAJAYA, S.H.",Male,3130288,2320137,286064,52926,0
1,1,DPD,2019,February,BALI,H. BAMBANG SANTOSO,Male,3130288,2320137,286064,1261,1
1,1,DPD,2019,February,BALI,"DEWA AYU PUTU SRI WIGUNAWATI, S.Sos., S.H., M",Female,3130288,2320137,286064,80571,0
1,1,DPD,2019,February,BALI,"Drs. DEWA MADE SUAMBA NEGARA, M.Si.",Male,3130288,2320137,286064,55525,0
1,1,DPD,2019,February,BALI,GEDE LANANG DARMA WIWEKA,Male,3130288,2320137,286064,77387,0
1,1,DPD,2019,February,BALI,"GEDE NGURAH AMBARA PUTRA, S.H.",Male,3130288,2320137,286064,120428,0
1,1,DPD,2019,February,BALI,"IDA BAGUS KETUT PURBANEGARA, S.E.",Male,3130288,2320137,286064,52667,0
1,1,DPD,2019,February,BALI,"Dr.Drs . I GUSTI MADE NGURAH,. M.Si.",Male,3130288,2320137,286064,11258,0
1,1,DPD,2019,February,BALI,Drs I GUSTI NGURAH HARTA,Male,3130288,2320137,286064,61746,0
1,1,DPD,2019,February,BALI,I KETUT PUTRA ISMAYA JAYA,Male,3130288,2320137,286064,40345,0
1,1,DPD,2019,February,BALI,Drs. I KETUT SUWARDANIA,Male,3130288,2320137,286064,2427,0
1,1,DPD,2019,February,BALI,"Ir. I NENGAH MANUMUDHITA, M.M.",Male,3130288,2320137,286064,10127,0
1,1,DPD,2019,February,BALI,"I NENGAH WIRATHA, S.E.",Male,3130288,2320137,286064,108087,0
1,1,DPD,2019,February,BALI,"I NYOMAN SUKRAYASA, S.H.",Male,3130288,2320137,286064,3533,0
1,1,DPD,2019,February,BALI,"Ir. I WAYAN ADNYANA , S.H., M.Kn",Male,3130288,2320137,286064,15008,0
1,1,DPD,2019,February,BALI,"Drs. MADE MANGKU PASTIKA, M.M.",Male,3130288,2320137,286064,26979,1
1,1,DPD,2019,February,BALI,"NGURAH SUGIARTA,S.H.",Male,3130288,2320137,286064,10722,0
1,1,DPD,2019,February,BALI,"NI MADE AYU SRIWATHI, S.E., M.M.",Female,3130288,2320137,286064,17502,0
1,1,DPD,2019,February,BALI,"NI MADE SUASTINI, S.I.Kom",Female,3130288,2320137,286064,106002,0
1,1,DPD,2019,February,BALI,"Dr. SHRI I.G.N ARYA WEDAKARNA MWS, S.E (M.TRU)., M.Si.",Male,3130288,2320137,286064,742781,1
1,1,DPD,2014,April,BALI,"A.A. NGR Oka Ratmadi, S.H. ",Female,2309574,1941861,367713,150288,1
1,1,DPD,2014,April,BALI,AA. Putu Ngurah Wirawan ,Male,2309574,1941861,367713,4885,0
1,1,DPD,2014,April,BALI,Ir. Anak Agung Kartika Putra ,Male,2309574,1941861,367713,20163,0
1,1,DPD,2014,April,BALI,"Dewa Ayu PT. Sri Wigunawati, S.Sos., S.H., M.Si ",Female,2309574,1941861,367713,80288,0
1,1,DPD,2014,April,BALI,"Drs. DEWA MADE SUAMBA NEGARA, M.Si.",Male,2309574,1941861,367713,52145,0
1,1,DPD,2014,April,BALI,Dewa Putu Budarsa,Male,2309574,1941861,367713,34237,0
1,1,DPD,2014,April,BALI,Drs. Erlangga Mantik ,Male,2309574,1941861,367713,68088,0
1,1,DPD,2014,April,BALI,"Gede Pasek Suardika, S.H., M.H. ",Male,2309574,1941861,367713,132887,1
1,1,DPD,2014,April,BALI,"I.G.N. Kesuma Kelakan, S.T., M.Si ",Male,2309574,1941861,367713,124446,0
1,1,DPD,2014,April,BALI,"I Gede Dharma Wijaya, S.E., M.M., M.Kes. ",Male,2309574,1941861,367713,48714,0
1,1,DPD,2014,April,BALI,"Drg. I Gede Putu Wirya, M.Kes",Male,2309574,1941861,367713,27555,0
1,1,DPD,2014,April,BALI,"I Gusti Ketut Adi Kertiyasa, S.H. ",Male,2309574,1941861,367713,56042,0
1,1,DPD,2014,April,BALI,I Gusti Ngurah Susila ,Male,2309574,1941861,367713,11265,0
1,1,DPD,2014,April,BALI,I Kadek Arimbawa,Male,2309574,1941861,367713,161607,1
1,1,DPD,2014,April,BALI,I Ketut Pesta ,Male,2309574,1941861,367713,11877,0
1,1,DPD,2014,April,BALI,"Drs. I Ketut Putra Suarthana, M.M. ",Male,2309574,1941861,367713,16103,0
1,1,DPD,2014,April,BALI,"I Made Arimbawa, S.H., M.M. ",Male,2309574,1941861,367713,20121,0
1,1,DPD,2014,April,BALI,"I Made Arjaya, S.E., M.Si",Male,2309574,1941861,367713,86215,0
1,1,DPD,2014,April,BALI,Ir. Made Dana M. Tangkas,Male,2309574,1941861,367713,33996,0
1,1,DPD,2014,April,BALI,"Drs. I Made Karang, M.Pd.",Male,2309574,1941861,367713,12267,0
1,1,DPD,2014,April,BALI,Ir. I Made Suarnatha,Male,2309574,1941861,367713,22792,0
1,1,DPD,2014,April,BALI,"I Made Sudiana, S.H. ",Male,2309574,1941861,367713,34049,0
1,1,DPD,2014,April,BALI,"I Made Sunarsa, S.E. ",Male,2309574,1941861,367713,6883,0
1,1,DPD,2014,April,BALI,"I Made Sundayana, S.Kep., M.Si. ",Male,2309574,1941861,367713,33868,0
1,1,DPD,2014,April,BALI,I Made Wakil Sendana ,Male,2309574,1941861,367713,392,0
1,1,DPD,2014,April,BALI,"Drs. I Nengah Parawatha, S.H., M.Si ",Female,2309574,1941861,367713,16477,0
1,1,DPD,2014,April,BALI,"I Nengah Wiratha, S.E.",Male,2309574,1941861,367713,69725,0
1,1,DPD,2014,April,BALI,"Drs. I Nyoman Cendikiawan, S.H., M.Si. ",Male,2309574,1941861,367713,39049,0
1,1,DPD,2014,April,BALI,"I Wayan Arthadipa, S.H., M.H. ",Male,2309574,1941861,367713,34484,0
1,1,DPD,2014,April,BALI,"I Wayan Gede Suyatartha, S.E., M.B.A. ",Male,2309574,1941861,367713,11903,0
1,1,DPD,2014,April,BALI,"I Wayan Sudirta, S.H. ",Male,2309574,1941861,367713,95209,0
1,1,DPD,2014,April,BALI,"I Wayan Sukla Arnata, S.H., M.H. ",Male,2309574,1941861,367713,24809,0
1,1,DPD,2014,April,BALI,"Ida Bagus Putra D. Mantra, Ph.D. ",Male,2309574,1941861,367713,8374,0
1,1,DPD,2014,April,BALI,Drs. Ida Bagus Arnawa,Male,2309574,1941861,367713,6589,0
1,1,DPD,2014,April,BALI,"Ida Bagus Putu Astina, S.H. ",Male,2309574,1941861,367713,26279,0
1,1,DPD,2014,April,BALI,Ida Bagus Raka Wiryanatha,Male,2309574,1941861,367713,4795,0
1,1,DPD,2014,April,BALI,"Drs. H. Masrur Makmur, M.Pd.I. ",Male,2309574,1941861,367713,83513,0
1,1,DPD,2014,April,BALI,"Putu Arsana Atmaja, S.T. ",Male,2309574,1941861,367713,23531,0
1,1,DPD,2014,April,BALI,Ir. Rataya B Kentjanawathy,Female,2309574,1941861,367713,19524,0
1,1,DPD,2014,April,BALI,Dr. Shri I G.N. Arya Wedakarna M. Wedasteraputra S. ,Male,2309574,1941861,367713,178934,1
1,1,DPD,2019,February,BANTEN,"H. ABAY ZAENUDIN, M.Si.",Male,8112477,5204216,1548430,233624,0
1,1,DPD,2019,February,BANTEN,H. ABDI SUMAITHI,Male,8112477,5204216,1548430,364044,1
1,1,DPD,2019,February,BANTEN,ANDIARA APRILIA HIKMAT,Female,8112477,5204216,1548430,1187788,1
1,1,DPD,2019,February,BANTEN,Hj.  ASIROH,Female,8112477,5204216,1548430,346977,0
1,1,DPD,2019,February,BANTEN,"H. BUDI HERIYADI. S.E., S.H.",Male,8112477,5204216,1548430,295434,0
1,1,DPD,2019,February,BANTEN,Hj. CICIH SUTIANINGSIH,Female,8112477,5204216,1548430,105217,0
1,1,DPD,2019,February,BANTEN,"DANI SAMIUN, S.H",Male,8112477,5204216,1548430,268488,0
1,1,DPD,2019,February,BANTEN,"ENOH JUNAEDI, S.H.",Male,8112477,5204216,1548430,51217,0
1,1,DPD,2019,February,BANTEN,Ir. ETEN HILMAN HARTONO,Male,8112477,5204216,1548430,88306,0
1,1,DPD,2019,February,BANTEN,HABIB ALI ALWI,Male,8112477,5204216,1548430,547962,1
1,1,DPD,2019,February,BANTEN,HAWASI SYABRAWI,Male,8112477,5204216,1548430,125849,0
1,1,DPD,2019,February,BANTEN,HARNIATIE SRI ANA M,Female,8112477,5204216,1548430,82116,0
1,1,DPD,2019,February,BANTEN,HIKA TRANSISIA AP,Male,8112477,5204216,1548430,42392,0
1,1,DPD,2019,February,BANTEN,"JUJU SUJANA, S.M.",Male,8112477,5204216,1548430,20143,0
1,1,DPD,2019,February,BANTEN,"H. TB. M. ALI RIDHO AZHARI, S.H., M.I.Kom",Male,8112477,5204216,1548430,34945,1
1,1,DPD,2019,February,BANTEN,M. FADHLIN AKBAR,Male,8112477,5204216,1548430,230918,0
1,1,DPD,2019,February,BANTEN,MOCHAMMAD FARID DERMAWAN,Male,8112477,5204216,1548430,168283,0
1,1,DPD,2019,February,BANTEN,MUHAMMAD NAWAWI,Male,8112477,5204216,1548430,85567,0
1,1,DPD,2019,February,BANTEN,NANA PRAYATNA RAHADIAN,Male,8112477,5204216,1548430,63522,0
1,1,DPD,2019,February,BANTEN,"REZA IBNU MALIK, S.Sos",Male,8112477,5204216,1548430,54906,0
1,1,DPD,2019,February,BANTEN,RUKYAT BIN IDRIS,Male,8112477,5204216,1548430,4485,0
1,1,DPD,2019,February,BANTEN,SOFYAN NURDIN,Male,8112477,5204216,1548430,15032,0
1,1,DPD,2019,February,BANTEN,H. SUTISNA SUKANDAR M,Male,8112477,5204216,1548430,21775,0
1,1,DPD,2019,February,BANTEN,Drs. H. TAFTAZANI,Male,8112477,5204216,1548430,29467,0
1,1,DPD,2019,February,BANTEN,"TB. TENGKU ABDUROHMAN, S.E., M.M",Male,8112477,5204216,1548430,81977,0
1,1,DPD,2019,February,BANTEN,"TOPARI, S.Sos., M.H.",Male,8112477,5204216,1548430,117625,0
1,1,DPD,2014,April,BANTEN,"Drs. H. Abdurachman, M.A.P. ",Male,5717047,4157163,1559884,261603,0
1,1,DPD,2014,April,BANTEN,Dr. H. Achmad Rusdi Arief ,Male,5717047,4157163,1559884,,0
