PDS,VN,ID,YR,MN,PROV,CAN_N,CAN_C,CAN_G,RV,VV,IVV,CV
1,1,Pres_VP,2014,July,ACEH,Prabowo Subianto and Hatta Rajasa,1,Male and Male,3330719,2002599,58485,1089290
1,1,Pres_VP,2014,July,ACEH,Joko Widodo and Jusuf Kalla,2,Male and Male,3330719,2002599,58485,913309
1,1,Pres_VP,2014,July,BALI,Prabowo Subianto and Hatta Rajasa,1,Male and Male,2942282,2149351,17870,614241
1,1,Pres_VP,2014,July,BALI,Joko Widodo and Jusuf Kalla,2,Male and Male,2942282,2149351,17870,1535110
1,1,Pres_VP,2014,July,BANTEN,Prabowo Subianto and Hatta Rajasa,1,Male and Male,7985599,5591302,60165,3192671
1,1,Pres_VP,2014,July,BANTEN,Joko Widodo and Jusuf Kalla,2,Male and Male,7985599,5591302,60165,2398631
1,1,Pres_VP,2014,July,BENGKULU,Prabowo Subianto and Hatta Rajasa,1,Male and Male,1379067,956842,7150,433173
1,1,Pres_VP,2014,July,BENGKULU,Joko Widodo and Jusuf Kalla,2,Male and Male,1379067,956842,7150,523669
1,1,Pres_VP,2014,July,DAERAH ISTIMEWA YOGYAKARTA,Prabowo Subianto and Hatta Rajasa,1,Male and Male,2752275,2211591,33573,977342
1,1,Pres_VP,2014,July,DAERAH ISTIMEWA YOGYAKARTA,Joko Widodo and Jusuf Kalla,2,Male and Male,2752275,2211591,33573,1234249
1,1,Pres_VP,2014,July,DKI JAKARTA,Prabowo Subianto and Hatta Rajasa,1,Male and Male,7096168,5387958,53747,2528064
1,1,Pres_VP,2014,July,DKI JAKARTA,Joko Widodo and Jusuf Kalla,2,Male and Male,7096168,5387958,53747,2859894
1,1,Pres_VP,2014,July,GORONTALO,Prabowo Subianto and Hatta Rajasa,1,Male and Male,794450,600232,3216,378735
1,1,Pres_VP,2014,July,GORONTALO,Joko Widodo and Jusuf Kalla,2,Male and Male,794450,600232,3216,221497
1,1,Pres_VP,2014,July,JAMBI,Prabowo Subianto and Hatta Rajasa,1,Male and Male,2480927,1769103,13467,871316
1,1,Pres_VP,2014,July,JAMBI,Joko Widodo and Jusuf Kalla,2,Male and Male,2480927,1769103,13467,897787
1,1,Pres_VP,2014,July,JAWA BARAT,Prabowo Subianto and Hatta Rajasa,1,Male and Male,33045082,23697696,292393,14167381
1,1,Pres_VP,2014,July,JAWA BARAT,Joko Widodo and Jusuf Kalla,2,Male and Male,33045082,23697696,292393,9530315
1,1,Pres_VP,2014,July,JAWA TENGAH,Prabowo Subianto and Hatta Rajasa,1,Male and Male,27385217,19445260,223144,6485720
1,1,Pres_VP,2014,July,JAWA TENGAH,Joko Widodo and Jusuf Kalla,2,Male and Male,27385217,19445260,223144,12959540
1,1,Pres_VP,2014,July,JAWA TIMUR,Prabowo Subianto and Hatta Rajasa,1,Male and Male,30639897,21946401,238006,10277088
1,1,Pres_VP,2014,July,JAWA TIMUR,Joko Widodo and Jusuf Kalla,2,Male and Male,30639897,21946401,238006,11669313
1,1,Pres_VP,2014,July,KALIMANTAN BARAT,Prabowo Subianto and Hatta Rajasa,1,Male and Male,3506277,2605400,16533,1032354
1,1,Pres_VP,2014,July,KALIMANTAN BARAT,Joko Widodo and Jusuf Kalla,2,Male and Male,3506277,2605400,16533,1573046
1,1,Pres_VP,2014,July,KALIMANTAN SELATAN,Prabowo Subianto and Hatta Rajasa,1,Male and Male,2821261,1881557,38237,941809
1,1,Pres_VP,2014,July,KALIMANTAN SELATAN,Joko Widodo and Jusuf Kalla,2,Male and Male,2821261,1881557,38237,939748
1,1,Pres_VP,2014,July,KALIMANTAN TENGAH,Prabowo Subianto and Hatta Rajasa,1,Male and Male,1819970,1164476,9357,468277
1,1,Pres_VP,2014,July,KALIMANTAN TENGAH,Joko Widodo and Jusuf Kalla,2,Male and Male,1819970,1164476,9357,696199
1,1,Pres_VP,2014,July,KALIMANTAN TIMUR,Prabowo Subianto and Hatta Rajasa,1,Male and Male,2925330,1877890,15551,687734
1,1,Pres_VP,2014,July,KALIMANTAN TIMUR,Joko Widodo and Jusuf Kalla,2,Male and Male,2925330,1877890,15551,1190156
1,1,Pres_VP,2014,July,KEPULAUAN BANGKA BELITUNG,Prabowo Subianto and Hatta Rajasa,1,Male and Male,925058,613065,6109,200706
1,1,Pres_VP,2014,July,KEPULAUAN BANGKA BELITUNG,Joko Widodo and Jusuf Kalla,2,Male and Male,925058,613065,6109,412359
1,1,Pres_VP,2014,July,KEPULAUAN RIAU,Prabowo Subianto and Hatta Rajasa,1,Male and Male,1323627,824727,5298,332908
1,1,Pres_VP,2014,July,KEPULAUAN RIAU,Joko Widodo and Jusuf Kalla,2,Male and Male,1323627,824727,5298,491819
1,1,Pres_VP,2014,July,LAMPUNG,Prabowo Subianto and Hatta Rajasa,1,Male and Male,5976211,4333813,27179,2033924
1,1,Pres_VP,2014,July,LAMPUNG,Joko Widodo and Jusuf Kalla,2,Male and Male,5976211,4333813,27179,2299889
