Year,Province name,Election ,Registered voters in district,Valid votes in district,Invalid votes,Candidate name,Candidate number,Candidate number of votes,Candidate elected to the DPD,,,,,,,,,,,
2014,Aceh ,DPD,,2240124,,,,,,,,,,,,,,,,
2014,Aceh ,DPD,,,,Adnan N.S. ,1,"75,821",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Dr. Ahmad Farhan Hamid, M.S.",2,"114,010",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Drs. H. Anharuddin, S.E., M.M.",3,"45,415",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Anwar,4,"27,525",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"H. Asy’ari, S.Pd.I.",5,"87,750",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Drs. Azhari Usman, M.SI.",6,"89,360",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Dasleliaty,7,"30,631",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Erdarina, S.P. ",8,"52,946",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Fachrul Razi, M.I.P. ",9,"345,915",1,,,,,,,,,,,
2014,Aceh ,DPD,,,,"H. Fachrurrazi, S.E. ",10,"42,841",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Fauzan Azima S,11,"38,502",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Fazlun Hasan ,12,"79,916",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Drs. H. Ghazali Abbas Adan,13,"144,505",1,,,,,,,,,,,
2014,Aceh ,DPD,,,,Herianto ,14,"40,952",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Drs. Ibrahim Saleh ,15,"24,242",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Idham, S.P. ",16,"29,361",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Irsalina Huzna Azwir, S.Ked",17,"41,598",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Drs. H. M. Yusuf Ishaq,18,"38,688",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Dra. Hj. Mediati Hafni Hanum, SH., M,Kn.",19,"42,628",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Muhammad Yusuf, S.E. ",20,"25,442",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Mukhtar, S.E. ",21,"8,154",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Mursyid,22,"83,857",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Muslim, S.E. ",23,"13,998",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Nazir Adam, S.E., M.M. ",24,"103,928",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Rafli ,25,"134,509",1,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Saifuddin Gani, S.H. ",26,"11,320",,,,,,,,,,,,
2014,Aceh ,DPD,,,,Sudirman,27,"136,964",1,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Suparno, S.T.P. ",28,"31,030",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Syamsuddin A Jalil, S.H. ",29,"21,433",,,,,,,,,,,,
2014,Aceh ,DPD,,,,H.T. Bachrum Manyak ,30,"43,539",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Ir. H.T. Suriansyah, M.Si.",31,"13,813",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Tarmilin Usman, SE, M.Si. ",32,"18,281",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Teuku Eddy Faisal Rusydi, S.H.I., M.Sc. ",33,"18,190",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Teuku Kamaruzzman, S.H. ",34,"44,283",,,,,,,,,,,,
2014,Aceh ,DPD,,,,H. Teuku Mukhtar Anshari Z.A ,35,"19,161",,,,,,,,,,,,
2014,Aceh ,DPD,,,,TGK. T. Abdul Muthalib,36,"29,354",,,,,,,,,,,,
2014,Aceh ,DPD,,,,TGK. H. Abdurrahman B.T.M ,37,"30,091",,,,,,,,,,,,
2014,Aceh ,DPD,,,,TGK. H. Rasyidin Abdullah ,38,"28,443",,,,,,,,,,,,
2014,Aceh ,DPD,,,,"Ir. TGK. H. Subki El Madny, M.T. ",39,"12,918",,,,,,,,,,,,
2014,Aceh ,DPD,,,,H. Waisul Qarany Aly ,40,"18,810",,,,,,,,,,,,
2014,Bali,DPD,,"1,941,861",,,,,,,,,,,,,,,,
2014,Bali,DPD,,,,"A.A. NGR Oka Ratmadi, S.H. ",1,"150,288",1,,,,,,,,,,,
2014,Bali ,DPD,,,,AA. Putu Ngurah Wirawan ,2,"48,850",,,,,,,,,,,,
2014,Bali ,DPD,,,,Ir. Anak Agung Kartika Putra ,3,"20,163",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Dewa Ayu PT. Sri Wigunawati, S.Sos., S.H., M.Si ",4,"80,288",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Drs. DEWA MADE SUAMBA NEGARA, M.Si.",5,"52,145",,,,,,,,,,,,
2014,Bali ,DPD,,,,Dewa Putu Budarsa,6,"34,237",,,,,,,,,,,,
2014,Bali ,DPD,,,,Drs. Erlangga Mantik ,7,"68,088",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Gede Pasek Suardika, S.H., M.H. ",8,"132,887",1,,,,,,,,,,,
2014,Bali ,DPD,,,,"I.G.N. Kesuma Kelakan, S.T., M.Si ",9,"124,446",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Gede Dharma Wijaya, S.E., M.M., M.Kes. ",10,"48,714",,,,,,,,,,,,
2014,Bali,DPD,,,,"Drg. I Gede Putu Wirya, M.Kes",11,"27,555",,,,,,,,,,,,
2014,Bali ,DPD,,,,,12,,,,,,,,,,,,,
2014,Bali,DPD,,,,"I Gusti Ketut Adi Kertiyasa, S.H. ",13,"56,042",,,,,,,,,,,,
2014,Bali ,DPD,,,,I Gusti Ngurah Susila ,14,"11,265",,,,,,,,,,,,
2014,Bali ,DPD,,,,I Kadek Arimbawa,15,"161,607",1,,,,,,,,,,,
2014,Bali ,DPD,,,,I Ketut Pesta ,16,"11,877",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Drs. I Ketut Putra Suarthana, M.M. ",17,"16,103",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Made Arimbawa, S.H., M.M. ",18,"20,121",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Made Arjaya, S.E., M.Si",19,"86,215",,,,,,,,,,,,
2014,Bali ,DPD,,,,Ir. Made Dana M. Tangkas,20,"33,996",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Drs. I Made Karang, M.Pd.",21,"12,267",,,,,,,,,,,,
2014,Bali ,DPD,,,,Ir. I Made Suarnatha,22,"22,792",,,,,,,,,,,,
2014,Bali,DPD,,,,"I Made Sudiana, S.H. ",23,"34,049",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Made Sunarsa, S.E. ",24,"6,883",,,,,,,,,,,,
2014,Bali,DPD,,,,"I Made Sundayana, S.Kep., M.Si. ",25,"33,868",,,,,,,,,,,,
2014,Bali ,DPD,,,,I Made Wakil Sendana ,26,"3,920",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Drs. I Nengah Parawatha, S.H., M.Si ",27,"16,477",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Nengah Wiratha, S.E.",28,"69,725",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Drs. I Nyoman Cendikiawan, S.H., M.Si. ",29,"39,049",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Wayan Arthadipa, S.H., M.H. ",30,"34,484",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Wayan Gede Suyatartha, S.E., M.B.A. ",31,"11,903",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Wayan Sudirta, S.H. ",32,"95,209",,,,,,,,,,,,
2014,Bali ,DPD,,,,"I Wayan Sukla Arnata, S.H., M.H. ",33,"24,809",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Ida Bagus Putra D. Mantra, Ph.D. ",34,"8,374",,,,,,,,,,,,
2014,Bali,DPD,,,,Drs. Ida Bagus Arnawa,35,"6,589",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Ida Bagus Putu Astina, S.H. ",36,"26,279",,,,,,,,,,,,
2014,Bali ,DPD,,,,Ida Bagus Raka Wiryanatha,37,"4,795",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Drs. H. Masrur Makmur, M.Pd.I. ",38,"83,513",,,,,,,,,,,,
2014,Bali ,DPD,,,,"Putu Arsana Atmaja, S.T. ",39,"23,531",,,,,,,,,,,,
2014,Bali,DPD,,,,Ir. Rataya B Kentjanawathy,40,"19,524",,,,,,,,,,,,
2014,Bali ,DPD,,,,Dr. Shri I G.N. Arya Wedakarna M. Wedasteraputra S. ,41,"178,934",1,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,"566,772",,,,,,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,Drs. H. A. Hudarni Rani ,1,"85,877",1,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Ir. Agung Setiawan, M.M.",2,"28,193",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Bahar Buasan, S.T. ",3,"36,045",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Ir. H. Ernawan Rebuin, M.M. ",4,"21,162",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Fadjar Fairy, S.H. ",5,"28,240",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Herry Erfian, S.T. ",6,"63,318",1,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,Ir. H. Iwansyah ,7,"18,212",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"H. Jawarno, S.I.P. ",8,"19,885",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,H. Muhammad Sulahudin,9,"24,277",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,Dra. Hj. Nurlaela,10,"26,166",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Drs. H. Parhan Ali, M.M. ",11,"30,349",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"H. Patris Lumumba, S.H. ",12,"8,618",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Ir. R. Rudy Irawan, M.M. ",13,"19,723",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,Sofian Romli,14,"7,347",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"H. Syamsuddin Basari, S.Sos., M.Si. ",15,"16,962",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Tellie Gozelie, S.E. ",16,"51,552",1,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,,17,,,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,Zubaidah ,18,"14,286",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Zulfriandi Afan, S.E. ",19,"6,811",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Ir. H. Zulkarnaen Syamsudin, M.M., B.A. ",20,"9,909",,,,,,,,,,,,
2014,Bangka Belitung ,DPD,,,,"Drs. H. Zulkarnain Karim, M.M. ",21,"49,840",1,,,,,,,,,,,
2014,Banten,DPD,,"4,157,163",,,,,,,,,,,,,,,,
2014,Banten,DPD,,,,"Drs. H. Abdurachman, M.A.P. ",1,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,Dr. H. Achmad Rusdi Arief ,2,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"H. Ahmad Imron, S.E. ",3,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"K.H. Ahmad Sadeli Karim, L.C. ",4,#REF!,1,,,,,,,,,,,
2014,Banten,DPD,,,,H. Ahmad Subadri ,5,#REF!,1,,,,,,,,,,,
2014,Banten,DPD,,,,Drs. H. Akhmad Haris ,6,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,Andiara Aprilia Hikmat,7,#REF!,1,,,,,,,,,,,
2014,Banten,DPD,,,,"Dr. Andriansyah, M.Si.",8,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"Dr. Gidion S. Hutagalung, S.H., S.Th., M.A. ",9,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"H. Gondo Radityo Gambiro, M.B.A. ",10,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"Gousta Feriza, S.H., M.H. ",11,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,Drs. Habib Ali Alwi ,12,#REF!,1,,,,,,,,,,,
2014,Banten,DPD,,,,"Hj. Hanif Sobari, M.Si",13,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"Hasan  Nuryadi, S.E., M.Ec. ",14,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"Hj. Himmatul Aliyah, S.Sos., M.Si. ",15,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,Iwan Kurniawan ,16,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"H. Iyus Priatna, S.Sos. ",17,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"H. M. Irsjad Djuwaeli, S.P., M.M. ",18,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,M. Nurdin R,19,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"Moh. Jembar, M.Si. ",20,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,H. Mushin ,21,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,H. Muhtar Imi ,22,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"H. Odjat Sukardjat, S.H.I., M.B.A. ",23,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"H. Rosyid Haerudi, S.P., M.M. ",24,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,H. Tb. Lucky Kaking,25,#REF!,,,,,,,,,,,,
2014,Banten,DPD,,,,"Ir. Togu Pardamean Tobing, M.Si. ",26,#REF!,,,,,,,,,,,,
2014,Bengkulu ,DPD,,"895,608",,,,,,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Ir. Ahmad Hamim Wicaksono, M.Sc. ",1,"38,912",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"H. Ahmad Kanedi, S.H., M.H. ",2,"150,074",1,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,Ir. Babulhairien A.B ,3,"26,120",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,Dipi-ing. H. Bambang Soeroso,4,"63,561",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Cupli Risman, S.Sos",5,"23,938",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Dinmar, S.Kom. ",6,"64,460",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,Djatmiko ,7,"16,968",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Dra. Hj. Eni Khairani, M.Si. ",8,"108,521",1,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,Eri Yanto ,9,"19,364",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Iqbal Bastari, S.Pd. ",10,"42,904",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"H. Mohammad Saleh, S.E. ",11,"74,275",1,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,Muhammad Kosim,12,"18,666",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Muspani, S.H. ",13,"37,319",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Radianto Star, S.T. ",14,"5,676",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Dr. Rahimullah, S.H., M.Si. ",15,"18,919",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,Riri Damayanti ,16,"87,541",1,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Dr. Ir. H. Ruslan Wijaya, S.E., M.A.P. ",17,"30,960",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Drs. H. Salamun Haris M, M.Si ",18,"29,479",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,H. Syaiful Anwar Bachsin ,19,"3,508",,,,,,,,,,,,
2014,Bengkulu ,DPD,,,,"Yuan Rasugi Sang, S.Sos., M.H. ",20,"34,443",,,,,,,,,,,,
2014,DI. Yogyakarta ,DPD,,"2,011,482",,,,,,,,,,,,,,,,
2014,DI. Yogyakarta ,DPD,,,,"Drs. H. A. Hafidh Asrom, M.M. ",1,"158,794",1,,,,,,,,,,,
