Year,Province name,Election,Registered voters in district,Valid votes in district,Invalid votes,Candidate Name ,Candidate Number ,Number of Party Votes (for each party),Candidate elected to the DPD,,,,,,
2019,Aceh,DPD,"2,634,041","2,495,832","389,304",,,,,,,,,,
2019,Aceh,DPD,,,,"Dr. Ir. H ABDULLAH PUTEH, M.Si.",1,"133,367",1,,,,,,
2019,Aceh,DPD,,,,"ANDRI LISKA, S.I.Kom.",2,"55,904",,,,,,,
2019,Aceh,DPD,,,,"H. ANWAR AHMAD, S.E., Ak.",3,"78,749",,,,,,,
2019,Aceh,DPD,,,,"BUKHARI MY, S.Sos.",4,"42,265",,,,,,,
2019,Aceh,DPD,,,,BURHANUDDIN DAUD,5,"47,697",,,,,,,
2019,Aceh,DPD,,,,"H. FACHRUL RAZI, M.I.P.",6,"157,317",1,,,,,,
2019,Aceh,DPD,,,,"TGK. FACHRURRAZI HAMZAH, S.Pd.",7,"61,232",,,,,,,
2019,Aceh,DPD,,,,FADHLI ABDULLAH ADAM,8,"14,449",,,,,,,
2019,Aceh,DPD,,,,FAJRAN ZAIN,9,"58,097",,,,,,,
2019,Aceh,DPD,,,,Drs. H. GHAZALI ABBAS ADAN,10,"74,820",,,,,,,
2019,Aceh,DPD,,,,"Drs. HASANUDDIN DARJO, M.M.",11,"123,460",,,,,,,
2019,Aceh,DPD,,,,"dr. IRSALINA HUSNA AZWIR, S.H.",12,"109,019",,,,,,,
2019,Aceh,DPD,,,,"ISKANDAR, S.E.I",13,"49,258",,,,,,,
2019,Aceh,DPD,,,,"MASRI GANDARA MARZUKI, S.H.",14,"37,041",,,,,,,
2019,Aceh,DPD,,,,"H. M. FADHIL RAHMI, Lc.",15,"227,624",1,,,,,,
2019,Aceh,DPD,,,,M. FAKHRUDDIN,16,"47,524",,,,,,,
2019,Aceh,DPD,,,,MUHAMMAD ALI KUBA ,17,"10,222",,,,,,,
2019,Aceh,DPD,,,,"H. MUKHLIS MUKHTAR, S.H.",18,"21,251",,,,,,,
2019,Aceh,DPD,,,,"H. MUNTASIR HAMID, S.H., M.H",19,"21,617",,,,,,,
2019,Aceh,DPD,,,,MURDANI,20,"13,833",,,,,,,
2019,Aceh,DPD,,,,"MURSALIN, S.H.I",21,"19,402",,,,,,,
2019,Aceh,DPD,,,,SUDIRMAN,22,"960,033",1,,,,,,
2019,Aceh,DPD,,,,TGK. T. ABDUL MUTHALIB,23,"49,034",,,,,,,
2019,Aceh,DPD,,,,"TARMILIN USMAN, S.E., M.Si",24,"34,951",,,,,,,
2019,Aceh,DPD,,,,H. T. BACHRUM MANYAK,25,"28,967",,,,,,,
2019,Aceh,DPD,,,,T. SAIFULLAH,26,"18,699",,,,,,,
2019,Bali,DPD,"3,130,288","2,320,137","286,064",,,,,,,,,,
2019,Bali,DPD,,,,"A.A NGR. OKA RATMADI,S.H., M.Si.",1,"71,890",,,,,,,
2019,Bali,DPD,,,,"ANAK AGUNG GDE AGUNG, S.H.",2,"229,675",1,,,,,,
