Year,Province name,Election ,Registered voters in district,Valid votes in district,Invalid votes,Candidate name,Candidate number,Candidate number of votes,Candidate elected,,,,,,,,
2024,Aceh,DPD,"3,742,037","2,942,946","338,279",,,,,,,,,,,,
2024,Aceh,DPD,,,,ABDUL HADI BANG JONI,1,"119,669",,,,,,,,,
2024,Aceh,DPD,,,,Tgk. AHMADA,2,"207,464",1,,,,,,,,
2024,Aceh,DPD,,,,"H. AKHYAR KAMIL, S.H.",3,"136,002",,,,,,,,,
2024,Aceh,DPD,,,,"Dr. H. A. MUFAKHIR MUHAMMAD, M.A.",4,"60,563",,,,,,,,,
2024,Aceh,DPD,,,,"AZHARI CAGE, S.IP",5,"150,934",1,,,,,,,,
2024,Aceh,DPD,,,,DARVATI A. GANI,6,"184,528",1,,,,,,,,
2024,Aceh,DPD,,,,"DEDI SUMARDI NURDIN, A.Md.Kep., S.K.M., M.M.",7,"40,667",,,,,,,,,
2024,Aceh,DPD,,,,"DEDY MULYADI SELIAN, S.T.",8,"43,603",,,,,,,,,
2024,Aceh,DPD,,,,H. FIRMANDEZ,9,"22,497",,,,,,,,,
2024,Aceh,DPD,,,,"dr. IRSALINA HUSNA AZWIR, S.H., Sp.DV., CPM",10,"54,805",,,,,,,,,
2024,Aceh,DPD,,,,"M. ADAM, S.Pd.SD.",11,"16,433",,,,,,,,,
2024,Aceh,DPD,,,,"M. AMIN SAID. S.H., M.Hum.",12,"15,834",,,,,,,,,
2024,Aceh,DPD,,,,"H. M. RADHIL RAHMI, LC., M.Ag.",13,"137,754",,,,,,,,,
2024,Aceh,DPD,,,,"M. FAKHRUDDIN, S.T.",14,"23,567",,,,,,,,,
2024,Aceh,DPD,,,,"MIZAR LIYANDA, S.TP.. M.P.",15,"67,166",,,,,,,,,
2024,Aceh,DPD,,,,"Dr. H. MOHD. ILYAS, S.E.. M.M",16,"15,560",,,,,,,,,
