Year,Province name,Election,Registered voters ,Valid votes ,Invalid votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes ,Elected to the presidency
2014,Aceh ,President & Vice President,3.330.719,2002599,"58,485",,,,
2014,Aceh ,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"1,089,290",0
2014,Aceh ,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"913,309",1
2014,Bali,President & Vice President,"2,942,282","2,149,351","17,870",,,,
2014,Bali,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"614,241",0
2014,Bali ,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"1,535,110",1
2014,Bangka Belitung ,President & Vice President,"925,058","613,065","6,109",,,,
2014,Bangka Belitung ,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"200,706",0
2014,Bangka Belitung ,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"412,359",1
2014,Banten,President & Vice President,"7,985,599","5,591,302","60,165",,,,
2014,Banten,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"3,192,671",0
2014,Banten,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"2,398,631",1
2014,Bengkulu ,President & Vice President,"1,379,067","956,842","7,150",,,,
2014,Bengkulu ,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"433,173",0
2014,Bengkulu ,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"523,669",1
2014,DI. Yogyakarta ,President & Vice President,"2,752,275","2,211,591","33,573",,,,
2014,DI. Yogyakarta ,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"977,342",0
2014,DI. Yogyakarta ,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"1,234,249",1
2014,DKI Jakarta ,President & Vice President,"7,096,168","5,387,958","53,747",,,,
2014,DKI Jakarta ,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"2,528,064",0
2014,DKI Jakarta ,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"2,859,894",1
2014,Gorontalo,President & Vice President,"794,450","600,232","3,216",,,,
2014,Gorontalo,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"378,735",0
2014,Gorontalo,President & Vice President,,,,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla ,2,"221,497",1
2014,Jambi,President & Vice President,"2,480,927","1,769,103","13,467",,,,
2014,Jambi,President & Vice President,,,,H. Prabowo Subianto - Ir. H. M. Hatta Rajasa ,1,"871,316",0
