Year,Province name,Election,Registered voters ,Valid votes ,Invalid votes,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes ,Elected to the presidency,,
2019,Aceh ,President & Vice President,,2804934,,,,,,,
2019,Aceh ,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,404188,1,,
2019,Aceh ,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,2400746,0,,
2019,Bali,President & Vice President,,2564472,,,,,,,
2019,Bali,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,2351057,1,,
2019,Bali ,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,213415,0,,
2019,Bangka Belitung ,President & Vice President,,4809274,,,,,,,
2019,Bangka Belitung ,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,2853585,1,,
2019,Bangka Belitung ,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,1955689,0,,
2019,Banten,President & Vice President,,21769958,,,,,,,
2019,Banten,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,16825511,1,,
2019,Banten,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,4944447,0,,
2019,Bengkulu ,President & Vice President,,783964,,,,,,,
2019,Bengkulu ,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,495729,1,,
2019,Bengkulu ,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,288235,0,,
2019,DI. Yogyakarta ,President & Vice President,,24672915,,,,,,,
2019,DI. Yogyakarta ,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,16231668,1,,
2019,DI. Yogyakarta ,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,8441247,0,,
2019,DKI Jakarta ,President & Vice President,,6345684,,,,,,,
2019,DKI Jakarta ,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,3279547,1,,
2019,DKI Jakarta ,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,3066137,0,,
2019,Gorontalo,President & Vice President,,1621242,,,,,,,
2019,Gorontalo,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,914588,1,,
2019,Gorontalo,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,706654,0,,
2019,Jambi,President & Vice President,,4820768,,,,,,,
2019,Jambi,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,1942987,1,,
2019,Jambi,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,2877781,0,,
2019,Jawa Barat,President & Vice President,,26828014,,,,,,,
2019,Jawa Barat,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,10750568,1,,
2019,Jawa Barat,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,16077446,0,,
2019,Jawa Tengah,President & Vice President,,2397655,,,,,,,
2019,Jawa Tengah,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,1655174,1,,
2019,Jawa Tengah,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,742481,0,,
2019,Jawa Timur,President & Vice President,,6597038,,,,,,,
2019,Jawa Timur,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,2537524,1,,
2019,Jawa Timur,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,4059514,0,,
2019,Kalimantan Barat,President & Vice President,,2973653,,,,,,,
2019,Kalimantan Barat,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,1709896,1,,
2019,Kalimantan Barat,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,1263757,0,,
2019,Kalimantan Selatan,President & Vice President,,2294102,,,,,,,
2019,Kalimantan Selatan,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,823939,1,,
2019,Kalimantan Selatan,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,1470163,0,,
2019,Kalimantan Tengah,President & Vice President,,1368086,,,,,,,
2019,Kalimantan Tengah,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,830948,1,,
2019,Kalimantan Tengah,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,537138,0,,
2019,Kalimantan Timur,President & Vice President,,1965288,,,,,,,
2019,Kalimantan Timur,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,1094845,1,,
2019,Kalimantan Timur,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,870443,0,,
2019,Kalimantan Utara,President & Vice President,,354401,,,,,,,
2019,Kalimantan Utara,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,248239,1,,
2019,Kalimantan Utara,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,106162,0,,
2019,Kepulauan Riau,President & Vice President,,2062858,,,,,,,
2019,Kepulauan Riau,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,859833,1,,
2019,Kepulauan Riau,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,1203025,0,,
2019,Lampung,President & Vice President,,1016203,,,,,,,
2019,Lampung,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,550692,1,,
2019,Lampung,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,465511,0,,
2019,Maluku,President & Vice President,,992397,,,,,,,
2019,Maluku,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,599457,1,,
2019,Maluku,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,392940,0,,
2019,Maluku Utara,President & Vice President,,655371,,,,,,,
2019,Maluku Utara,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,310548,1,,
2019,Maluku Utara,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,344823,0,,
2019,Nusa Tenggara Barat,President & Vice President,,2962561,,,,,,,
2019,Nusa Tenggara Barat,President & Vice President,,,,Joko Widodo-Ma'ruf Amin,,951242,1,,
2019,Nusa Tenggara Barat,President & Vice President,,,,Prabowo Subianto-Sandiaga Uno,,2011319,0,,
2019,Nusa Tenggara Timur,President & Vice President,,2674569,,,,,,,
