Year,Election,Province,District Name,Party Number,Party Name,Candidate Name,"Candidate Gender L=Male, P=Female",Candidate List Number
2019,DPR ,ACEH,ACEH I,1,PKB,"H. IRMAWAN, S.Sos, MM",L,1
2019,DPR ,ACEH,ACEH I,1,PKB,SAYED MUSTAFA USAB AL IDROES,L,2
2019,DPR ,ACEH,ACEH I,1,PKB,MAHDALENA,P,3
2019,DPR ,ACEH,ACEH I,1,PKB,T. NASRUDDIN,L,4
2019,DPR ,ACEH,ACEH I,1,PKB,KHAIRULLAH,L,5
2019,DPR ,ACEH,ACEH I,1,PKB,"IDAWATI, S.E",P,6
2019,DPR ,ACEH,ACEH I,1,PKB,"SUHARNI BUSTAMI, S.Pd",P,7
2019,DPR ,ACEH,ACEH I,2,Gerindra,"FADHLULLAH, SE",L,1
2019,DPR ,ACEH,ACEH I,2,Gerindra,"Dr. ASFIFUDDIN, SH, MH",L,2
2019,DPR ,ACEH,ACEH I,2,Gerindra,Dra. Hj. ZULHAFAH,P,3
2019,DPR ,ACEH,ACEH I,2,Gerindra,"ABDULLAH SALEH, SH",L,4
2019,DPR ,ACEH,ACEH I,2,Gerindra,AINAL MARDHIAH,P,5
2019,DPR ,ACEH,ACEH I,2,Gerindra,"Drs. H. SAYUTHI IS, MM",L,6
2019,DPR ,ACEH,ACEH I,2,Gerindra,CUT MEUTIA ADRINA,P,7
2019,DPR ,ACEH,ACEH I,3,PDIP,H. KARIMUN USMAN,L,1
2019,DPR ,ACEH,ACEH I,3,PDIP,RAMOND DONY ADAM,L,2
2019,DPR ,ACEH,ACEH I,3,PDIP,DWI LUHNUARI JUMWATI,P,3
2019,DPR ,ACEH,ACEH I,3,PDIP,"MUSLAHUDDIN DAUD, S.Ag",L,4
2019,DPR ,ACEH,ACEH I,3,PDIP,"TITI WIDYAWATI, S.P.",P,5
2019,DPR ,ACEH,ACEH I,3,PDIP,NASRAN AB,L,6
2019,DPR ,ACEH,ACEH I,3,PDIP,LIRA AMALIA,P,7
2019,DPR ,ACEH,ACEH I,4,Golkar,ANDI HS,L,1
2019,DPR ,ACEH,ACEH I,4,Golkar,"M. SALIM FAKHRY, M.M.",L,2
2019,DPR ,ACEH,ACEH I,4,Golkar,CUT SRI MAINITA,P,3
2019,DPR ,ACEH,ACEH I,4,Golkar,"Drs. H. SULAIMAN ABDA, M.Si",L,4
2019,DPR ,ACEH,ACEH I,4,Golkar,Drs. H.T. ZULKARNAINI,L,5
2019,DPR ,ACEH,ACEH I,4,Golkar,"NENI RUMIANTI DAULAY, S.E.",P,6
2019,DPR ,ACEH,ACEH I,4,Golkar,"CUT NURMALAHAYATI U, S.E.",P,7
2019,DPR ,ACEH,ACEH I,5,NasDem,"H ZAINI DJALIL, SH",L,1
2019,DPR ,ACEH,ACEH I,5,NasDem,"TGK. ANWAR, S.PD., MM",L,2
2019,DPR ,ACEH,ACEH I,5,NasDem,"Hj. DRA. MEDIATI HAFNI HANUM, SH., Mkn",P,3
