Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,"1,171,092","1,254,353",158643,,,,,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Nasional Demokrat,1,"151,121",1,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Kebangkitan Bangsa ,2,"92,905",1,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Keadilan Sejahtera ,3,"105,868",1,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"35,419",,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Golongan Karya ,5,"140,954",1,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Gerakan Indonesia Raya ,6,"184,538",1,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Demokrat ,7,"209,598",1,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Amanat Nasional,8,"151,996",1,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Persatuan Pembangunan ,9,"76,785",,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"43,414",,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Bulan Bintang ,14,"39,988",,,,,,,,,,,,,,,,
2014,Aceh ,1,DPR,,,,Partai Keadilan dan Persatuan Indonesia,15,"21,767",,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,"1,588,085","1,061,873","140,395",,,,,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Nasional Demokrat,1,"120,453",1,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Kebangkitan Bangsa ,2,"44,751",,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Keadilan Sejahtera ,3,"73,940",,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,4,"110,281",1,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Golongan Karya ,5,"91,546",1,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Gerakan Indonesia Raya ,6,"181,847",1,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Demokrat ,7,"142,411",1,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Amanat Nasional,8,"89,200",,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Persatuan Pembangunan ,9,"123,946",1,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Hati Nurani Rakyat ,10,"44,768",,,,,,,,,,,,,,,,
2014,Aceh ,2,DPR,,,,Partai Bulan Bintang ,14,"27,518",,,,,,,,,,,,,,,,
