Year,Province name,District number,Election ,Registered voters in district,Valid votes in district,Invalid votes in district,Party name,Party number,Party number of votes,Number of DPR seats,
2024,Aceh,1,DPR,"1,964,576","1,649,009","113,950",,,,,
2024,Aceh,1,DPR,,,,Partai Kebangkitan Bangsa,1,"320,033",1,
2024,Aceh,1,DPR,,,,Partai Gerakan Indonesia Raya ,2,"104,005",,
2024,Aceh,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"133,277",1,
2024,Aceh,1,DPR,,,,Partai Golongan Karya,4,"258,043",1,
2024,Aceh,1,DPR,,,,Partai Nasdem,5,"158,867",1,
2024,Aceh,1,DPR,,,,Partai Buruh,6,"6,730",,
2024,Aceh,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"11,359",,
2024,Aceh,1,DPR,,,,Partai Keadilan Sejahtera,8,"119,581",1,
2024,Aceh,1,DPR,,,,Partai Kebangkitan Nusantara ,9,"1,820",,
2024,Aceh,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"28,584",,
2024,Aceh,1,DPR,,,,Partai Garda Republik Indonesia,11,"2,711",,
2024,Aceh,1,DPR,,,,Partai Amanat Nasional ,12,"185,867",1,
2024,Aceh,1,DPR,,,,Partai Bulan Bintang ,13,"18,056",,
2024,Aceh,1,DPR,,,,Partai Demokrat ,14,"130,913",1,
2024,Aceh,1,DPR,,,,Partai Solidaritas Indonesia ,15,"16,630",,
2024,Aceh,1,DPR,,,,Partai Perindo,16,"4,162",,
2024,Aceh,1,DPR,,,,Partai Persatuan Pembangunan ,17,"137,835",,
2024,Aceh,1, DPR  ,,,,Partai Ummat ,24,"10,536",,
2024,Aceh,2,DPR,"1,777,461","1,398,720","117,766",,,,,
2024,Aceh,2,DPR,,,,Partai Kebangkitan Bangsa,1,"267,750",1,
2024,Aceh,2,DPR,,,,Partai Gerakan Indonesia Raya ,2,"159,597",1,
2024,Aceh,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"20,059",,
2024,Aceh,2,DPR,,,,Partai Golongan Karya,4,"336,170",2,
2024,Aceh,2,DPR,,,,Partai Nasdem,5,"169,280",1,
2024,Aceh,2,DPR,,,,Partai Buruh,6,"6,093",,
2024,Aceh,2,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"8,266",,
2024,Aceh,2,DPR,,,,Partai Keadilan Sejahtera,8,"104,140",1,
2024,Aceh,2,DPR,,,,Partai Kebangkitan Nusantara ,9,"2,208",,
2024,Aceh,2,DPR,,,,Partai Hati Nurani Rakyat ,10,"25,440",,
2024,Aceh,2,DPR,,,,Partai Garda Republik Indonesia,11,"5,340",,
2024,Aceh,2,DPR,,,,Partai Amanat Nasional ,12,"82,843",,
2024,Aceh,2,DPR,,,,Partai Bulan Bintang ,13,"7,078",,
2024,Aceh,2,DPR,,,,Partai Demokrat ,14,"93,438",,
2024,Aceh,2,DPR,,,,Partai Solidaritas Indonesia ,15,"6,179",,
2024,Aceh,2,DPR,,,,Partai Perindo,16,"4,187",,
2024,Aceh,2,DPR,,,,Partai Persatuan Pembangunan ,17,"92,914",,
2024,Aceh,2,DPR,,,,Partai Ummat ,24,"7,738",,
2024,Bali,1,DPR,"3,269,512","2,460,686","268,214",,,,,
2024,Bali,1,DPR,,,,Partai Kebangkitan Bangsa,1,"41,628",,
2024,Bali,1,DPR,,,,Partai Gerakan Indonesia Raya ,2,"295,313",1,
2024,Bali,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"1,290,884",5,
2024,Bali,1,DPR,,,,Partai Golongan Karya,4,"333,521",1,
2024,Bali,1,DPR,,,,Partai Nasdem,5,"147,678",1,
2024,Bali,1,DPR,,,,Partai Buruh,6,"9,045",,
2024,Bali,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"23,731",,
2024,Bali,1,DPR,,,,Partai Keadilan Sejahtera,8,"19,145",,
2024,Bali,1,DPR,,,,Partai Kebangkitan Nusantara ,9,"23,681",,
2024,Bali,1,DPR,,,,Partai Hati Nurani Rakyat ,10,"9,851",,
2024,Bali,1,DPR,,,,Partai Garda Republik Indonesia,11,"4,600",,
2024,Bali,1,DPR,,,,Partai Amanat Nasional ,12,"6,683",,
2024,Bali,1,DPR,,,,Partai Bulan Bintang ,13,"1,805",,
2024,Bali,1,DPR,,,,Partai Demokrat ,14,"174,476",1,
2024,Bali,1,DPR,,,,Partai Solidaritas Indonesia ,15,"60,722",,
2024,Bali,1,DPR,,,,Partai Perindo,16,"10,531",,
2024,Bali,1,DPR,,,,Partai Persatuan Pembangunan ,17,"5,232",,
2024,Bali,1,DPR,,,,Partai Ummat ,24,"2,160",,
2024,Banten,1,DPR,"2,044,770","1,473,421","168,898",,,,,
2024,Banten,1,DPR,,,,Partai Kebangkitan Bangsa,1,"318,356",1,
2024,Banten,1,DPR,,,,Partai Gerakan Indonesia Raya,2,"145,046",1,
2024,Banten,1,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"141,731",1,
2024,Banten,1,DPR,,,,Partai Golongan Karya,4,"117,653",1,
2024,Banten,1,DPR,,,,Partai Nasdem,5,"129,989",1,
2024,Banten,1,DPR,,,,Partai Buruh,6,"10,139",,
2024,Banten,1,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"8,219",,
2024,Banten,1,DPR,,,,Partai Keadilan Sejahtera,8,"101,311",,
2024,Banten,1,DPR,,,,Partai Kebangkitan Nusantara,9,"2,881",,
2024,Banten,1,DPR,,,,Partai Hati Nurani Rakyat,10,"5,389",,
2024,Banten,1,DPR,,,,Partai Garda Republik Indonesia ,11,"5,131",,
2024,Banten,1,DPR,,,,Partai Amanat Nasional,12,"69,024",,
2024,Banten,1,DPR,,,,Partai Bulan Bintang,13,"5,234",,
2024,Banten,1,DPR,,,,Partai Demokrat ,14,"247,664",1,
2024,Banten,1,DPR,,,,Partai Solidaritas Indonesia ,15,"16,457",,
2024,Banten,1,DPR,,,,Partai Perindo,16,"11,732",,
2024,Banten,1,DPR,,,,Partai Persatuan Pembangunan,17,"132,212",,
2024,Banten,1,DPR,,,,Partai Ummat,24,"5,253",,
2024,Banten,2,DPR,"2,059,041","1,517,680","268,480",,,,,
2024,Banten,2,DPR,,,,Partai Kebangkitan Bangsa,1,"86,766",,
2024,Banten,2,DPR,,,,Partai Gerakan Indonesia Raya,2,"197,429",1,
2024,Banten,2,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"143,703",1,
2024,Banten,2,DPR,,,,Partai Golongan Karya,4,"174,577",1,
2024,Banten,2,DPR,,,,Partai Nasdem,5,"208,803",1,
2024,Banten,2,DPR,,,,Partai Buruh,6,"16,376",,
2024,Banten,2,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"8,644",,
2024,Banten,2,DPR,,,,Partai Keadilan Sejahtera,8,"165,436",1,
2024,Banten,2,DPR,,,,Partai Kebangkitan Nusantara,9,"1,663",,
2024,Banten,2,DPR,,,,Partai Hati Nurani Rakyat,10,"4,755",,
2024,Banten,2,DPR,,,,Partai Garda Republik Indonesia ,11,"5,554",,
2024,Banten,2,DPR,,,,Partai Amanat Nasional,12,"244,983",1,
2024,Banten,2,DPR,,,,Partai Bulan Bintang,13,"9,442",,
2024,Banten,2,DPR,,,,Partai Demokrat ,14,"142,279",,
2024,Banten,2,DPR,,,,Partai Solidaritas Indonesia ,15,"27,035",,
2024,Banten,2,DPR,,,,Partai Perindo,16,"10,405",,
2024,Banten,2,DPR,,,,Partai Persatuan Pembangunan,17,"64,362",,
2024,Banten,2,DPR,,,,Partai Ummat,24,"5,468",,
2024,Banten,3,DPR,"4,738,835","3,494,370","458,886",,,,,
2024,Banten,3,DPR,,,,Partai Kebangkitan Bangsa,1,"286,556",1,
2024,Banten,3,DPR,,,,Partai Gerakan Indonesia Raya,2,"364,440",1,
2024,Banten,3,DPR,,,,Partai Demokrasi Indonesia Perjuangan ,3,"535,004",2,
2024,Banten,3,DPR,,,,Partai Golongan Karya,4,"639,064",2,
2024,Banten,3,DPR,,,,Partai Nasdem,5,"231,754",1,
2024,Banten,3,DPR,,,,Partai Buruh,6,"37,099",,
2024,Banten,3,DPR,,,,Partai Gelombang Rakyat Indonesia,7,"43,150",,
2024,Banten,3,DPR,,,,Partai Keadilan Sejahtera,8,"419,898",1,
2024,Banten,3,DPR,,,,Partai Kebangkitan Nusantara,9,"5,065",,
2024,Banten,3,DPR,,,,Partai Hati Nurani Rakyat,10,"11,850",,
2024,Banten,3,DPR,,,,Partai Garda Republik Indonesia ,11,"8,253",,
2024,Banten,3,DPR,,,,Partai Amanat Nasional,12,"267,138",1,
2024,Banten,3,DPR,,,,Partai Bulan Bintang,13,"15,341",,
2024,Banten,3,DPR,,,,Partai Demokrat ,14,"237,876",1,
2024,Banten,3,DPR,,,,Partai Solidaritas Indonesia ,15,"203,079",,
2024,Banten,3,DPR,,,,Partai Perindo,16,"78,403",,
2024,Banten,3,DPR,,,,Partai Persatuan Pembangunan,17,"93,456",,
2024,Banten,3,DPR,,,,Partai Ummat,24,"16,944",,
