Year,Province name,Election,Registered voters in province,Valid votes in province,Invalid votes in province,"Candidate names, President and Vice President",Candidate pair number,Number of valid votes for each candidate pair,Elected to the presidency
2024,Aceh,President & Vice President,"3,742,037","3,221,235","64,037",,,,
2024,Aceh,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,2369534,0
2024,Aceh,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,787024,1
2024,Aceh,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,64677,0
2024,Bali,President & Vice President,"3,269,516","2,681,007","59,685",,,,
2024,Bali,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"99,233",0
2024,Bali,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,454,640",1
2024,Bali,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"1,127,134",0
2024,Banten,President & Vice President,"8,842,646","7,206,710","215,797",,,,
2024,Banten,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"2,451,383",0
2024,Banten,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"4,035,052",1
2024,Banten,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"720,275",0
2024,Bengkulu,President & Vice President,"1,494,828","1,268,750","27,563",,,,
2024,Bengkulu,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"229,681",0
2024,Bengkulu,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"893,499",1
2024,Bengkulu,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"145,570",0
2024,D.I.Yogyakarta,President & Vice President,"2,870,974","2,506,765","60,629",,,,
2024,D.I.Yogyakarta,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"496,280",0
2024,D.I.Yogyakarta,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,269,265",1
2024,D.I.Yogyakarta,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"741,220",0
2024,DKI Jakarta,President & Vice President,"8,252,897",6460911,"97,823",,,,
2024,DKI Jakarta,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"2,653,762",0
2024,DKI Jakarta,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"2,692,011",1
2024,DKI Jakarta,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"1,115,138",0
2024,Gorontalo,President & Vice President,"881,206","773,524","10,527",,,,
2024,Gorontalo,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"227,354",0
2024,Gorontalo,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"504,662",1
2024,Gorontalo,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"41,508",0
2024,Jambi,President & Vice President,"2,676,107","2,205,808","54,425",,,,
2024,Jambi,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"532,605",0
2024,Jambi,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,438,952",1
2024,Jambi,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"234,251",0
2024,Jawa Barat,President & Vice President,"35,714,901","28,726,523","711,518",,,,
2024,Jawa Barat,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"9,099,674",0
2024,Jawa Barat,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"16,805,854",1
2024,Jawa Barat,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"2,820,995",0
2024,Jawa Tengah,President & Vice President,"28,289,413","22,790,162","685,649",,,,
2024,Jawa Tengah,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"2,866,373",0
2024,Jawa Tengah,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"12,096,454",1
2024,Jawa Tengah,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"7,827,335",0
2024,Jawa Timur,President & Vice President,"31,402,838","25,644,060","895,661",,,,
2024,Jawa Timur,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,4492652,0
2024,Jawa Timur,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,16716603,1
2024,Jawa Timur,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,4434805,0
2024,Kalimantan Barat,President & Vice President,"3,958,561","3,217,274","60,541",,,,
2024,Kalimantan Barat,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"718,641",0
2024,Kalimantan Barat,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,964,183",1
2024,Kalimantan Barat,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"534,450",0
2024,Kalimantan Selatan,President & Vice President,"3,025,220","2,417,582","118,901",,,,
2024,Kalimantan Selatan,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"849,948",0
2024,Kalimantan Selatan,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,407,684",1
2024,Kalimantan Selatan,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"159,950",0
2024,Kalimantan Tengah,President & Vice President,"1,935,116","1,512,669","40,523",,,,
2024,Kalimantan Tengah,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"256,811",0
2024,Kalimantan Tengah,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,097,070",1
2024,Kalimantan Tengah,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"158,788",0
2024,Kalimantan Timur,President & Vice President,"2,778,644","2,230,535","47,506",,,,
2024,Kalimantan Timur,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"448,046",0
2024,Kalimantan Timur,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"1,542,346",1
2024,Kalimantan Timur,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"240,143",0
2024,Kalimantan Utara,President & Vice President,"504,252","407,725","5,407",,,,
2024,Kalimantan Utara,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"72,065",0
2024,Kalimantan Utara,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"284,209",1
2024,Kalimantan Utara,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"51,451",0
2024,Bangka Belitung,President & Vice President,"1,067,434","885,340","30,938",,,,
2024,Bangka Belitung,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"204,348",0
2024,Bangka Belitung,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"529,883",1
2024,Bangka Belitung,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"151,109",0
2024,KEP.Riau,President & Vice President,"1,500,974","1,152,792","19,041",,,,
2024,KEP.Riau,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"370,671",0
2024,KEP.Riau,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"641,388",1
2024,KEP.Riau,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"140,733",0
2024,Lampung,President & Vice President,"6,539,128","5,110,688","95,620",,,,
2024,Lampung,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"791,892",0
2024,Lampung,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"3,554,310",1
2024,Lampung,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"764,486",0
2024,Maluku,President & Vice President,"1,341,012","1,080,323","15,467",,,,
2024,Maluku,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"228,557",0
2024,Maluku,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"665,371",1
2024,Maluku,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"186,395",0
2024,Maluku Utara,President & Vice President,"953,978","746,695","12,117",,,,
2024,Maluku Utara,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"200,459",0
2024,Maluku Utara,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"454,943",1
2024,Maluku Utara,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"91,293",0
2024,Nusa Tenggara Barat,President & Vice President,"3,918,291","3,246,488","78,124",,,,
2024,Nusa Tenggara Barat,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"850,539",0
2024,Nusa Tenggara Barat,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"2,154,843",1
2024,Nusa Tenggara Barat,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"241,106",0
2024,Nusa Tenggara Timur,President & Vice President,"4,008,475","2,910,704","44,092",,,,
2024,Nusa Tenggara Timur,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,153446,0
2024,Nusa Tenggara Timur,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,1798753,1
2024,Nusa Tenggara Timur,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,958505,0
2024,Papua,President & Vice President,"727,835","625,034","59,471",,,,
2024,Papua,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"67,592",0
2024,Papua,President & Vice President,,,,H. PRABOWO SUBIANTO & GIBRAN RAKABUMING RAKA,2,"378,908",1
2024,Papua,President & Vice President,,,,"H. GANJAR PRANOWO, S.H. M.I.P & Prof. Dr. H. M. MAHFUD MD",3,"178,534",0
2024,Papua Barat,President & Vice President,"385,465","330,989","5,714",,,,
2024,Papua Barat,President & Vice President,,,,"H. ANIES RASYID BASWEDAN, Ph.D. & Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",1,"37,459",0
