Province,District,Party Number,Party Name,List number?,Candidate Name,Valid Votes,Candidate Rank,Total votes,page_number,table_number
Aceh,1,1,Partai Kebangkitan Bangsa,,,20.067,,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,1,"H. IRMAWAN, S.Sos., M.M.",125.234,I,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,2,M. RAMADHANA RUSLI BINTANG,55.775,III,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,3,"MAHDALENA, S.Hut.",2.313,VI,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,4,"TEUKU HAMZAH HUSEN, S.E., M.M.",5.654,V,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,5,"Tgk. MUJLISAL, S.Ag.",94.227,II,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,6,drh. HASNIDAR,938,VII,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,7,"Tgk. H. SYARIFUDDIN, M.A.",15.825,IV,,1,2
Aceh,1,1,Partai Kebangkitan Bangsa,,,,,320.033,1,2
Aceh,1,2,Partai Gerakan Indonesia Raya,,,10.121,,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,1,"FADHLULLAH, S.E.",53.388,I,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,2,Dra. Hj. ZULHAFAH,5.352,III,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,3,"Drs. HASANUDDIN DARJO, M.M.",2.624,IV,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,4,Ir. H. MAULISMAN HANAFIAH,1.622,V,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,5,Ir. MUDDATSTSIR KAMIL,1.214,VI,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,6,"ERLIN, S.E.",725,VII,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,7,ZAITUN MHD,28.959,II,,2,1
Aceh,1,2,Partai Gerakan Indonesia Raya,,,,,104.005,2,1
Aceh,1,3,Partai Demokrasi Indonesia Perjuangan,,,5.325,,,2,2
Aceh,1,,,1,SOFYAN DAWOOD,34.84,II,,2,2
Aceh,1,,,2,"JAMALUDDIN IDHAM, S.H., M.H.",71.608,I,,2,2
Aceh,1,,,3,YUNIATI,1.465,V,,2,2
Aceh,1,,,4,"RIFKI TAJUDDIN, S.E.",1.012,VI,,2,2
Aceh,1,,,5,H. RAMLI MS,9.104,IV,,2,2
Aceh,1,,,6,PUSPITA FIRDA OKTYANI,253,VII,,2,2
Aceh,1,,,7,"H. DAHLAN JAMALUDDIN, S.I.P.",9.67,III,,2,2
Aceh,1,TOTAL SUARA,,,,,,133.277,2,2
Aceh,1,4,Partai Golongan Karya,,,13.238,,,3,1
Aceh,1,,,1,H. T. M. NURLIF,59.221,III,,3,1
Aceh,1,,,2,"H. M. SALIM FAKHRY, S.E., M.M.",86.697,II,,3,1
Aceh,1,,,3,"Hj. SAMSIAR, S.E.",3.654,IV,,3,1
Aceh,1,,,4,Drs. H. T. ZULKARNAINI AMPON BANG,91.816,I,,3,1
Aceh,1,,,5,"Dr. H. M. SALEH.P, S.Pd.I., M.Si.",1.639,V,,3,1
Aceh,1,,,6,"NENI RUMIANTI DAULAY, S.E.",604,VII,,3,1
Aceh,1,,,7,T. M. ALI TAR,1.174,VI,,3,1
Aceh,1,TOTAL SUARA,,,,,,258.043,3,1
Aceh,1,5,Partai NasDem,,,18.17,,,3,2
Aceh,1,,,1,"Dr. TEUKU TAUFIQULHADI, M.Si.",34.675,II,,3,2
Aceh,1,,,2,"H. MUSLIM AYUB, S.H., M.M.",73.995,I,,3,2
Aceh,1,,,3,"Dra. Hj. MEDIATI HAFNI HANUM, S.H., M.Kn., CPM.",2.103,VI,,3,2
Aceh,1,,,4,"TEUNGKU RAZUAN, S.H.",19.193,III,,3,2
Aceh,1,,,5,"T. ISKANDAR DAOD, S.E., M.Si.",5.077,IV,,3,2
Aceh,1,,,6,CUT SRI MAINITA,1.613,VII,,3,2
Aceh,1,,,7,"SUPRIJAL YUSUF, S.H.",4.041,V,,3,2
Aceh,1,TOTAL SUARA,,,,,,158.867,3,2
Aceh,1,6,Partai Buruh,,,1.473,,,4,1
Aceh,1,,,1,Habibi Inseun,3.216,I,,4,1
Aceh,1,,,2,"Mahadi Manik, S.Si., M.Si.",683,II,,4,1
Aceh,1,,,3,Rosmana Dewi,414,IV,,4,1
Aceh,1,,,4,"Sayed Masykur, S.T.",482,III,,4,1
Aceh,1,,,5,Zarlina,195,V,,4,1
Aceh,1,,,6,Hariyanto Latuheru,135,VI,,4,1
Aceh,1,,,7,Siti Sundari,132,VII,,4,1
Aceh,1,TOTAL SUARA,,,,,,6.73,4,1
Aceh,1,7,Partai Gelombang Rakyat Indonesia,,,2.163,,,4,2
Aceh,1,,,1,AZMI FAJRI USMAN,4.916,I,,4,2
Aceh,1,,,2,TGK KHALIDI AL-DJADAMI,2.147,II,,4,2
Aceh,1,,,3,KASUMIYATI,375,V,,4,2
Aceh,1,,,4,NASRUDDIN AWL,805,III,,4,2
Aceh,1,,,5,EDY SUPENO,366,VI,,4,2
Aceh,1,,,6,"FANIA VIVI HIKMAWATI, S.E.",92,VII,,4,2
Aceh,1,,,7,MOHARRIADI,495,IV,,4,2
Aceh,1,TOTAL SUARA,,,,,,11.359,4,2
Aceh,1,8,Partai Keadilan Sejahtera,,,15.586,,,5,1
Aceh,1,,,1,GHUFRAN,46.713,I,,5,1
Aceh,1,,,2,RAFLY KANDE,45.467,II,,5,1
Aceh,1,,,3,"FRIESKA INDAH SARI, S.E.",1.487,V,,5,1
Aceh,1,,,4,BUHARI SELIAN,1.797,IV,,5,1
Aceh,1,,,5,"SAID MUSTAJAB, S.Sos.",6.892,III,,5,1
Aceh,1,,,6,"Ns. SINTA NELYSA, S.Kep.",904,VI,,5,1
Aceh,1,,,7,SRI WAHYUNI,735,VII,,5,1
Aceh,1,TOTAL SUARA,,,,,,119.581,5,1
Aceh,1,9,Partai Kebangkitan Nusantara,,,580,,,5,2
Aceh,1,,,1,"YUDI KURNIA, S.E.",631,I,,5,2
Aceh,1,,,2,AMRINUR OKTAJAYA,185,III,,5,2
Aceh,1,,,3,Hj. SERI PERAINI,218,II,,5,2
Aceh,1,,,4,YANTI OCTAVIA,81,IV,,5,2
Aceh,1,,,5,NELY INDRAWATI,76,V,,5,2
Aceh,1,,,6,NOLA NOLIA,49,VI,,5,2
Aceh,1,,,,,,,1.82,5,2
Aceh,1,10,Partai Hati Nurani Rakyat,,,2.313,,,6,1
Aceh,1,,,1,"Prof. Dr. BACHTIAR ALY, M.A.",3.203,II,,6,1
Aceh,1,,,2,"Dr. H. ASFIFUDDIN, S.H., M.H.",20.214,I,,6,1
Aceh,1,,,3,FITRIAH ISPANDI,568,IV,,6,1
Aceh,1,,,4,"AL AMIN, S.H.",1.61,III,,6,1
Aceh,1,,,5,INTAN KHAIRANI,266,V,,6,1
Aceh,1,,,6,SRI ARIANA NINGSIH,223,VI,,6,1
Aceh,1,,,7,"ADNAN YACOB, S.E.",187,VII,,6,1
Aceh,1,,,,,,,28.584,6,1
Aceh,1,11,Partai Garda Republik Indonesia,,,726,,,6,2
Aceh,1,,,1,CHAIDIR FURRAZI NUR,903,I,,6,2
Aceh,1,,,2,PUTRI CHOIRUN NISYA,367,II,,6,2
Aceh,1,,,3,EGI KURNIA PUTRA,217,IV,,6,2
Aceh,1,,,4,BENING LARASATI,128,V,,6,2
Aceh,1,,,5,"T. ISKANDAR, S.T.",272,III,,6,2
Aceh,1,,,6,SETYANI LARASATI,98,VI,,6,2
